Downloaded from https://mol.org on Jun 23, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the Portugal region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Anas clypeata","Northern Shoveler","Anatidae","Birds"
"Erythropygia galactotes","Rufous Bush Robin","Muscicapidae","Birds"
"Carduelis spinus","Eurasian Siskin","Fringillidae","Birds"
"Sterna dougallii","Roseate Tern","Laridae","Birds"
"Emberiza citrinella","Yellowhammer","Emberizidae","Birds"
"Hydrobates pelagicus","European Storm-Petrel","Hydrobatidae","Birds"
"Sturnus unicolor","Spotless Starling","Sturnidae","Birds"
"Fratercula arctica","Puffin","Alcidae","Birds"
"Parus ater","Coal Tit","Paridae","Birds"
"Coccothraustes coccothraustes","Hawfinch","Fringillidae","Birds"
"Acrocephalus arundinaceus","Great Reed Warbler","Sylviidae","Birds"
"Oceanodroma castro","Madeiran Storm-Petrel","Hydrobatidae","Birds"
"Accipiter nisus","Eurasian Sparrowhawk","Accipitridae","Birds"
"Pterocles orientalis","Black-Bellied Sandgrouse","Pteroclididae","Birds"
"Alca torda","Razorbill","Alcidae","Birds"
"Ardeola ralloides","Squacco Heron","Ardeidae","Birds"
"Bulweria bulwerii","Bulwer's Petrel","Procellariidae","Birds"
"Parus cristatus","Crested Tit","Paridae","Birds"
"Columba oenas","Stock Dove","Columbidae","Birds"
"Haematopus ostralegus","Eurasian Oystercatcher","Haematopodidae","Birds"
"Larus melanocephalus","Mediterranean Gull","Laridae","Birds"
"Perdix perdix","Grey Partridge","Phasianidae","Birds"
"Corvus frugilegus","Rook","Corvidae","Birds"
"Anthus pratensis","Meadow Pipit","Motacillidae","Birds"
"Streptopelia turtur","Turtle Dove","Columbidae","Birds"
"Ficedula parva","Red-Breasted Flycatcher","Muscicapidae","Birds"
"Anas platyrhynchos","Mallard","Anatidae","Birds"
"Fringilla coelebs","Chaffinch","Fringillidae","Birds"
"Pelagodroma marina","White-Faced Storm-Petrel","Hydrobatidae","Birds"
"Stercorarius pomarinus","Pomarine Skua","Stercorariidae","Birds"
"Phylloscopus ibericus","Iberian Chiffchaff","Sylviidae","Birds"
"Gallinula chloropus","Common Moorhen","Rallidae","Birds"
"Tadorna tadorna","Common Shelduck","Anatidae","Birds"
"Circus aeruginosus","Eurasian Marsh Harrier","Accipitridae","Birds"
"Alectoris rufa","Red-Legged Partridge","Phasianidae","Birds"
"Oceanodroma monteiroi","Monteiro's Storm Petrel","Hydrobatidae","Birds"
"Gallinago gallinago","Common Snipe","Scolopacidae","Birds"
"Upupa epops","Hoopoe","Upupidae","Birds"
"Lymnocryptes minimus","Jack Snipe","Scolopacidae","Birds"
"Charadrius hiaticula","Common Ringed Plover","Charadriidae","Birds"
