Downloaded from https://mol.org on Jun 23, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the San Marino region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Columba oenas","Stock Dove","Columbidae","Birds"
"Milvus milvus","Red Kite","Accipitridae","Birds"
"Sylvia hortensis","Orphean Warbler","Sylviidae","Birds"
"Hirundo rustica","Barn Swallow","Hirundinidae","Birds"
"Sylvia melanocephala","Sardinian Warbler","Sylviidae","Birds"
"Asio otus","Long-Eared Owl","Strigidae","Birds"
"Sitta europaea","Wood Nuthatch","Sittidae","Birds"
"Bubo bubo","Eurasian Eagle Owl","Strigidae","Birds"
"Alauda arvensis","Skylark","Alaudidae","Birds"
"Coturnix japonica","Japanese Quail","Phasianidae","Birds"
"Aythya nyroca","Ferruginous Pochard","Anatidae","Birds"
"Miliaria calandra","Corn Bunting","Emberizidae","Birds"
"Motacilla alba","White Wagtail","Motacillidae","Birds"
"Podiceps nigricollis","Black-Necked Grebe","Podicipedidae","Birds"
"Carduelis cannabina","Common Linnet","Fringillidae","Birds"
"Phylloscopus collybita","Chiffchaff","Sylviidae","Birds"
"Porzana porzana","Spotted Crake","Rallidae","Birds"
"Phylloscopus bonelli","Bonelli's Warbler","Sylviidae","Birds"
"Anas crecca","Common Teal","Anatidae","Birds"
"Carduelis carduelis","European Goldfinch","Fringillidae","Birds"
"Remiz pendulinus","Eurasian Penduline Tit","Remizidae","Birds"
"Tyto alba","Barn Owl","Tytonidae","Birds"
"Sylvia conspicillata","Spectacled Warbler","Sylviidae","Birds"
"Emberiza cirlus","Cirl Bunting","Emberizidae","Birds"
"Ardea cinerea","Grey Heron","Ardeidae","Birds"
"Galerida cristata","Crested Lark","Alaudidae","Birds"
"Anser anser","Greylag Goose","Anatidae","Birds"
"Lanius senator","Woodchat Shrike","Laniidae","Birds"
"Tachybaptus ruficollis","Little Grebe","Podicipedidae","Birds"
"Cisticola juncidis","Zitting Cisticola","Cisticolidae","Birds"
"Phoenicurus ochruros","Black Redstart","Muscicapidae","Birds"
"Phalacrocorax aristotelis","European Shag","Phalacrocoracidae","Birds"
"Plegadis falcinellus","Glossy Ibis","Threskiornithidae","Birds"
"Muscicapa striata","Spotted Flycatcher","Muscicapidae","Birds"
"Nycticorax nycticorax","Black-Crowned Night-Heron","Ardeidae","Birds"
"Jynx torquilla","Eurasian Wryneck","Picidae","Birds"
"Phylloscopus sibilatrix","Wood Warbler","Sylviidae","Birds"
"Phylloscopus inornatus","Yellow-Browed Warbler","Sylviidae","Birds"
"Anas clypeata","Northern Shoveler","Anatidae","Birds"
"Carduelis spinus","Eurasian Siskin","Fringillidae","Birds"
"Emberiza citrinella","Yellowhammer","Emberizidae","Birds"
"Hydrobates pelagicus","European Storm-Petrel","Hydrobatidae","Birds"
"Picus viridis","Green Woodpecker","Picidae","Birds"
"Larus minutus","Little Gull","Laridae","Birds"
"Calidris alpina","Dunlin","Scolopacidae","Birds"
"Phoenicurus phoenicurus","Redstart","Muscicapidae","Birds"
"Limosa lapponica","Bar-Tailed Godwit","Scolopacidae","Birds"
"Passer domesticus","House Sparrow","Passeridae","Birds"
"Columba palumbus","Woodpigeon","Columbidae","Birds"
"Turdus pilaris","Fieldfare","Turdidae","Birds"
"Larus genei","Slender-Billed Gull","Laridae","Birds"
"Pyrrhocorax graculus","Yellow-Billed Chough","Corvidae","Birds"
"Falco subbuteo","Eurasian Hobby","Falconidae","Birds"
"Sylvia curruca","Lesser Whitethroat","Sylviidae","Birds"
"Botaurus stellaris","Bittern","Ardeidae","Birds"
"Oriolus oriolus","Eurasian Golden Oriole","Oriolidae","Birds"
"Anthus campestris","Tawny Pipit","Motacillidae","Birds"
"Motacilla cinerea","Grey Wagtail","Motacillidae","Birds"
"Carduelis chloris","European Greenfinch","Fringillidae","Birds"
"Phasianus colchicus","Common Pheasant","Phasianidae","Birds"
"Monticola solitarius","Blue Rock Thrush","Muscicapidae","Birds"
"Tringa totanus","Common Redshank","Scolopacidae","Birds"
"Turdus merula","Blackbird","Turdidae","Birds"
"Sylvia cantillans","Subalpine Warbler","Sylviidae","Birds"
"Coracias garrulus","Roller","Coraciidae","Birds"
"Anas strepera","Gadwall","Anatidae","Birds"
"Gallinago media","Great Snipe","Scolopacidae","Birds"
"Turdus philomelos","Song Thrush","Turdidae","Birds"
"Falco peregrinus","Peregrine Falcon","Falconidae","Birds"
"Alcedo atthis","Common Kingfisher","Alcedinidae","Birds"
"Merops apiaster","Bee-Eater","Meropidae","Birds"
"Monticola saxatilis","Rufous-Tailed Rock Thrush","Muscicapidae","Birds"
"Emberiza schoeniclus","Reed Bunting","Emberizidae","Birds"
"Larus ridibundus","Common Black-Headed Gull","Laridae","Birds"
"Lullula arborea","Wood Lark","Alaudidae","Birds"
"Larus canus","Common Gull","Laridae","Birds"
"Circus cyaneus","Hen Harrier","Accipitridae","Birds"
"Apus apus","Common Swift","Apodidae","Birds"
"Falco vespertinus","Red-Footed Falcon","Falconidae","Birds"
"Corvus corone","Carrion Crow","Corvidae","Birds"
"Charadrius alexandrinus","Kentish Plover","Charadriidae","Birds"
"Philomachus pugnax","Ruff","Scolopacidae","Birds"
"Riparia riparia","Sand Martin","Hirundinidae","Birds"
"Aquila chrysaetos","Golden Eagle","Accipitridae","Birds"
"Anas acuta","Northern Pintail","Anatidae","Birds"
"Sylvia borin","Garden Warbler","Sylviidae","Birds"
"Acrocephalus scirpaceus","Eurasian Reed Warbler","Sylviidae","Birds"
"Limosa limosa","Black-Tailed Godwit","Scolopacidae","Birds"
"Accipiter gentilis","Goshawk","Accipitridae","Birds"
"Prunella collaris","Alpine Accentor","Prunellidae","Birds"
"Anas querquedula","Garganey","Anatidae","Birds"
"Scolopax rusticola","Woodcock","Scolopacidae","Birds"
"Parus palustris","Black-Bibbed Tit","Paridae","Birds"
"Hirundo rupestris","Eurasian Crag-Martin","Hirundinidae","Birds"
"Steganopus tricolor","Wilson's Phalarope","Scolopacidae","Birds"
"Puffinus mauretanicus","Balearic Shearwater","Procellariidae","Birds"
"Porzana parva","Little Crake","Rallidae","Birds"
"Clamator glandarius","Great Spotted Cuckoo","Cuculidae","Birds"
"Dendrocopos minor","Lesser Spotted Woodpecker","Picidae","Birds"
"Turdus viscivorus","Mistle Trush","Turdidae","Birds"
"Regulus regulus","Goldcrest","Reguliidae","Birds"
"Puffinus yelkouan","Mediterranean Shearwater","Procellariidae","Birds"
"Corvus corax","Common Raven","Corvidae","Birds"
"Sylvia atricapilla","Blackcap","Sylviidae","Birds"
"Sterna nilotica","Gull-Billed Tern","Laridae","Birds"
"Podiceps auritus","Horned Grebe","Podicipedidae","Birds"
"Parus ater","Coal Tit","Paridae","Birds"
"Coccothraustes coccothraustes","Hawfinch","Fringillidae","Birds"
"Acrocephalus arundinaceus","Great Reed Warbler","Sylviidae","Birds"
"Accipiter nisus","Eurasian Sparrowhawk","Accipitridae","Birds"
"Saxicola torquatus","Common Stonechat","Muscicapidae","Birds"
"Anas penelope","Eurasian Wigeon","Anatidae","Birds"
"Delichon urbicum","Northern House Martin","Hirundinidae","Birds"
"Dendrocopos major","Great Spotted Woodpecker","Picidae","Birds"
"Larus michahellis","Yellow Legged Gull","Laridae","Birds"
"Falco tinnunculus","Common Kestrel","Falconidae","Birds"
"Calidris minuta","Little Stint","Scolopacidae","Birds"
"Calonectris diomedea","Scopoli's Shearwater","Procellariidae","Birds"
"Mergus serrator","Red-Breasted Merganser","Anatidae","Birds"
"Troglodytes troglodytes","Winter Wren","Troglodytidae","Birds"
"Passer montanus","Eurasian Tree Sparrow","Passeridae","Birds"
"Circaetus gallicus","Short-Toed Eagle","Accipitridae","Birds"
"Emberiza hortulana","Ortolan Bunting","Emberizidae","Birds"
"Fulica atra","Common Coot","Rallidae","Birds"
"Hirundo daurica","Red-Rumped Swallow","Hirundinidae","Birds"
"Himantopus himantopus","Black-Winged Stilt","Recurvirostridae","Birds"
"Parus major","Great Tit","Paridae","Birds"
"Numenius arquata","Eurasian Curlew","Scolopacidae","Birds"
"Otus scops","Eurasian Scops Owl","Strigidae","Birds"
"Calandrella brachydactyla","Short-Toed Lark","Alaudidae","Birds"
"Regulus ignicapilla","Firecrest","Reguliidae","Birds"
"Podiceps cristatus","Great Crested Grebe","Podicipedidae","Birds"
"Sterna caspia","Caspian Tern","Laridae","Birds"
"Acrocephalus paludicola","Aquatic Warbler","Sylviidae","Birds"
"Pica pica","Black-Billed Magpie","Corvidae","Birds"
"Erithacus rubecula","Robin","Muscicapidae","Birds"
"Charadrius dubius","Little Ringed Plover","Charadriidae","Birds"
"Hippolais polyglotta","Melodious Warbler","Sylviidae","Birds"
"Sylvia communis","Whitethroat","Sylviidae","Birds"
"Circus pygargus","Montagu's Harrier","Accipitridae","Birds"
"Corvus monedula","Eurasian Jackdaw","Corvidae","Birds"
"Pyrrhula pyrrhula","Common Bullfinch","Fringillidae","Birds"
"Athene noctua","Little Owl","Strigidae","Birds"
"Rallus aquaticus","Water Rail","Rallidae","Birds"
"Serinus serinus","European Serin","Fringillidae","Birds"
"Sturnus vulgaris","Common Starling","Sturnidae","Birds"
"Motacilla flava","Yellow Wagtail","Motacillidae","Birds"
"Actitis hypoleucos","Common Sandpiper","Scolopacidae","Birds"
"Oenanthe oenanthe","Northern Wheatear","Muscicapidae","Birds"
"Gavia stellata","Red-Throated Diver","Gaviidae","Birds"
"Lanius minor","Lesser Grey Shrike","Laniidae","Birds"
"Ficedula albicollis","Collared Flycatcher","Muscicapidae","Birds"
"Cuculus canorus","Common Cuckoo","Cuculidae","Birds"
"Falco columbarius","Merlin","Falconidae","Birds"
"Cettia cetti","Cetti's Warbler","Sylviidae","Birds"
