Downloaded from https://mol.org on Jun 23, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the Slovakia region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Larus canus","Common Gull","Laridae","Birds"
"Hippolais pallida","Olivaceous Warbler","Sylviidae","Birds"
"Corvus corone","Carrion Crow","Corvidae","Birds"
"Otis tarda","Great Bustard","Otididae","Birds"
"Anser anser","Greylag Goose","Anatidae","Birds"
"Tachybaptus ruficollis","Little Grebe","Podicipedidae","Birds"
"Muscicapa striata","Spotted Flycatcher","Muscicapidae","Birds"
"Jynx torquilla","Eurasian Wryneck","Picidae","Birds"
"Ficedula albicollis","Collared Flycatcher","Muscicapidae","Birds"
"Phoenicurus phoenicurus","Redstart","Muscicapidae","Birds"
"Aythya fuligula","Tufted Duck","Anatidae","Birds"
"Parus caeruleus","Blue Tit","Paridae","Birds"
"Porzana pusilla","Baillon's Crake","Rallidae","Birds"
"Prunella collaris","Alpine Accentor","Prunellidae","Birds"
"Anas querquedula","Garganey","Anatidae","Birds"
"Turdus viscivorus","Mistle Trush","Turdidae","Birds"
"Regulus regulus","Goldcrest","Reguliidae","Birds"
"Aegolius funereus","Boreal Owl","Strigidae","Birds"
"Bombycilla garrulus","Bohemian Waxwing","Bombycillidae","Birds"
"Accipiter nisus","Eurasian Sparrowhawk","Accipitridae","Birds"
"Pyrrhocorax graculus","Yellow-Billed Chough","Corvidae","Birds"
"Falco subbuteo","Eurasian Hobby","Falconidae","Birds"
"Sylvia curruca","Lesser Whitethroat","Sylviidae","Birds"
"Certhia familiaris","Eurasian Treecreeper","Certhiidae","Birds"
"Motacilla cinerea","Grey Wagtail","Motacillidae","Birds"
"Carduelis chloris","European Greenfinch","Fringillidae","Birds"
"Tringa totanus","Common Redshank","Scolopacidae","Birds"
"Coracias garrulus","Roller","Coraciidae","Birds"
"Anas strepera","Gadwall","Anatidae","Birds"
"Turdus philomelos","Song Thrush","Turdidae","Birds"
"Aquila pomarina","Lesser Spotted Eagle","Accipitridae","Birds"
"Tichodroma muraria","Wallcreeper","Sittidae","Birds"
"Burhinus oedicnemus","Stone-Curlew","Burhinidae","Birds"
"Saxicola torquatus","Common Stonechat","Muscicapidae","Birds"
"Delichon urbicum","Northern House Martin","Hirundinidae","Birds"
"Asio flammeus","Short-Eared Owl","Strigidae","Birds"
"Platalea leucorodia","Eurasian Spoonbill","Threskiornithidae","Birds"
"Dendrocopos major","Great Spotted Woodpecker","Picidae","Birds"
"Cuculus canorus","Common Cuckoo","Cuculidae","Birds"
"Casmerodius albus","Great Egret","Ardeidae","Birds"
"Saxicola rubetra","Whinchat","Muscicapidae","Birds"
"Porzana porzana","Spotted Crake","Rallidae","Birds"
"Phylloscopus bonelli","Bonelli's Warbler","Sylviidae","Birds"
"Anas crecca","Common Teal","Anatidae","Birds"
"Calcarius lapponicus","Lapland Longspur","Emberizidae","Birds"
"Carduelis carduelis","European Goldfinch","Fringillidae","Birds"
"Remiz pendulinus","Eurasian Penduline Tit","Remizidae","Birds"
"Tetrao urogallus","Capercaillie","Phasianidae","Birds"
"Dendrocopos syriacus","Syrian Woodpecker","Picidae","Birds"
"Carduelis flammea","Common Redpoll","Fringillidae","Birds"
"Ardea cinerea","Grey Heron","Ardeidae","Birds"
"Dendrocopos medius","Middle Spotted Woodpecker","Picidae","Birds"
"Galerida cristata","Crested Lark","Alaudidae","Birds"
"Milvus migrans","Black Kite","Accipitridae","Birds"
"Haliaeetus albicilla","White-Tailed Eagle","Accipitridae","Birds"
"Strix aluco","Tawny Owl","Strigidae","Birds"
"Glareola pratincola","Collared Pratincole","Glareolidae","Birds"
"Phylloscopus trochilus","Willow Warbler","Sylviidae","Birds"
"Luscinia megarhynchos","Nightingale","Muscicapidae","Birds"
"Locustella fluviatilis","River Warbler","Sylviidae","Birds"
"Carpodacus erythrinus","Common Rosefinch","Fringillidae","Birds"
"Luscinia svecica","Bluethroat","Muscicapidae","Birds"
"Aegithalos caudatus","Long-Tailed Tit","Aegithalidae","Birds"
"Mergus merganser","Goosander","Anatidae","Birds"
