Downloaded from https://mol.org on Jun 23, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the Slovenia region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Recurvirostra avosetta","Pied Avocet","Recurvirostridae","Birds"
"Eudromias morinellus","Dotterel","Charadriidae","Birds"
"Sylvia communis","Whitethroat","Sylviidae","Birds"
"Panurus biarmicus","Bearded Tit","Timaliidae","Birds"
"Riparia riparia","Sand Martin","Hirundinidae","Birds"
"Aquila chrysaetos","Golden Eagle","Accipitridae","Birds"
"Anas acuta","Northern Pintail","Anatidae","Birds"
"Prunella collaris","Alpine Accentor","Prunellidae","Birds"
"Anas querquedula","Garganey","Anatidae","Birds"
"Puffinus mauretanicus","Balearic Shearwater","Procellariidae","Birds"
"Acrocephalus schoenobaenus","Sedge Warbler","Sylviidae","Birds"
"Ficedula albicollis","Collared Flycatcher","Muscicapidae","Birds"
"Cuculus canorus","Common Cuckoo","Cuculidae","Birds"
"Melanitta nigra","Common Scoter","Anatidae","Birds"
"Oenanthe hispanica","Black-Eared Wheatear","Muscicapidae","Birds"
"Dendrocopos major","Great Spotted Woodpecker","Picidae","Birds"
"Calonectris diomedea","Scopoli's Shearwater","Procellariidae","Birds"
"Acrocephalus dumetorum","Blyth's Reed Warbler","Sylviidae","Birds"
"Mergus serrator","Red-Breasted Merganser","Anatidae","Birds"
"Circaetus gallicus","Short-Toed Eagle","Accipitridae","Birds"
"Fulica atra","Common Coot","Rallidae","Birds"
"Hirundo daurica","Red-Rumped Swallow","Hirundinidae","Birds"
"Parus major","Great Tit","Paridae","Birds"
"Aquila clanga","Greater Spotted Eagle","Accipitridae","Birds"
"Acrocephalus paludicola","Aquatic Warbler","Sylviidae","Birds"
"Charadrius dubius","Little Ringed Plover","Charadriidae","Birds"
"Phylloscopus bonelli","Bonelli's Warbler","Sylviidae","Birds"
"Anas crecca","Common Teal","Anatidae","Birds"
"Melanitta fusca","White-Winged Scoter","Anatidae","Birds"
"Remiz pendulinus","Eurasian Penduline Tit","Remizidae","Birds"
"Emberiza cirlus","Cirl Bunting","Emberizidae","Birds"
"Carduelis flammea","Common Redpoll","Fringillidae","Birds"
"Ardea cinerea","Grey Heron","Ardeidae","Birds"
"Dendrocopos medius","Middle Spotted Woodpecker","Picidae","Birds"
"Anser albifrons","Greater White-Fronted Goose","Anatidae","Birds"
"Galerida cristata","Crested Lark","Alaudidae","Birds"
"Strix aluco","Tawny Owl","Strigidae","Birds"
"Locustella fluviatilis","River Warbler","Sylviidae","Birds"
"Aegithalos caudatus","Long-Tailed Tit","Aegithalidae","Birds"
"Mergus merganser","Goosander","Anatidae","Birds"
"Fringilla montifringilla","Brambling","Fringillidae","Birds"
"Tachymarptis melba","Alpine Swift","Apodidae","Birds"
"Prunella modularis","Dunnock","Prunellidae","Birds"
"Cygnus cygnus","Whooper Swan","Anatidae","Birds"
"Pernis apivorus","European Honey-Buzzard","Accipitridae","Birds"
"Limosa lapponica","Bar-Tailed Godwit","Scolopacidae","Birds"
"Passer domesticus","House Sparrow","Passeridae","Birds"
"Columba palumbus","Woodpigeon","Columbidae","Birds"
"Falco cherrug","Saker Falcon","Falconidae","Birds"
"Aythya marila","Greater Scaup","Anatidae","Birds"
"Larus fuscus","Scandinavian Lesser Black-Backed Gull","Laridae","Birds"
"Hirundo rustica","Barn Swallow","Hirundinidae","Birds"
"Lanius excubitor","Great Grey Shrike","Laniidae","Birds"
"Asio otus","Long-Eared Owl","Strigidae","Birds"
"Chlidonias niger","Black Tern","Laridae","Birds"
"Carduelis citrinella","Alpine Citril Finch","Fringillidae","Birds"
"Carduelis cannabina","Common Linnet","Fringillidae","Birds"
"Porzana porzana","Spotted Crake","Rallidae","Birds"
"Oriolus oriolus","Eurasian Golden Oriole","Oriolidae","Birds"
"Phasianus colchicus","Common Pheasant","Phasianidae","Birds"
"Turdus merula","Blackbird","Turdidae","Birds"
"Gallinago media","Great Snipe","Scolopacidae","Birds"
"Alcedo atthis","Common Kingfisher","Alcedinidae","Birds"
"Emberiza schoeniclus","Reed Bunting","Emberizidae","Birds"
"Larus canus","Common Gull","Laridae","Birds"
"Corvus corone","Carrion Crow","Corvidae","Birds"
"Otis tarda","Great Bustard","Otididae","Birds"
"Tachybaptus ruficollis","Little Grebe","Podicipedidae","Birds"
"Cisticola juncidis","Zitting Cisticola","Cisticolidae","Birds"
"Muscicapa striata","Spotted Flycatcher","Muscicapidae","Birds"
"Montifringilla nivalis","White-Winged Snowfinch","Passeridae","Birds"
"Jynx torquilla","Eurasian Wryneck","Picidae","Birds"
"Ciconia ciconia","White Stork","Ciconiidae","Birds"
"Emberiza citrinella","Yellowhammer","Emberizidae","Birds"
"Emberiza melanocephala","Black-Headed Bunting","Emberizidae","Birds"
"Larus minutus","Little Gull","Laridae","Birds"
"Gavia arctica","Black-Throated Diver","Gaviidae","Birds"
"Vanellus vanellus","Lapwing","Charadriidae","Birds"
"Steganopus tricolor","Wilson's Phalarope","Scolopacidae","Birds"
"Dendrocopos minor","Lesser Spotted Woodpecker","Picidae","Birds"
"Sylvia atricapilla","Blackcap","Sylviidae","Birds"
"Parus ater","Coal Tit","Paridae","Birds"
"Coccothraustes coccothraustes","Hawfinch","Fringillidae","Birds"
"Acrocephalus arundinaceus","Great Reed Warbler","Sylviidae","Birds"
"Larus genei","Slender-Billed Gull","Laridae","Birds"
"Tyto alba","Barn Owl","Tytonidae","Birds"
"Picus canus","Grey-Faced Woodpecker","Picidae","Birds"
"Phalacrocorax carbo","Cormorant","Phalacrocoracidae","Birds"
"Larus cachinnans","Caspian Gull","Laridae","Birds"
"Pyrrhula pyrrhula","Common Bullfinch","Fringillidae","Birds"
"Athene noctua","Little Owl","Strigidae","Birds"
"Sturnus vulgaris","Common Starling","Sturnidae","Birds"
"Motacilla flava","Yellow Wagtail","Motacillidae","Birds"
"Picoides tridactylus","Eurasian Three-Toed Woodpecker","Picidae","Birds"
"Anas penelope","Eurasian Wigeon","Anatidae","Birds"
"Locustella naevia","Grasshopper Warbler","Sylviidae","Birds"
"Egretta garzetta","Mascarene Reef-Egret","Ardeidae","Birds"
"Troglodytes troglodytes","Winter Wren","Troglodytidae","Birds"
"Falco peregrinus","Peregrine Falcon","Falconidae","Birds"
"Calandrella brachydactyla","Short-Toed Lark","Alaudidae","Birds"
"Melanocorypha calandra","Calandra Lark","Alaudidae","Birds"
"Perdix perdix","Grey Partridge","Phasianidae","Birds"
"Larus melanocephalus","Mediterranean Gull","Laridae","Birds"
"Parus cristatus","Crested Tit","Paridae","Birds"
"Anthus spinoletta","Water Pipit","Motacillidae","Birds"
"Columba livia","Rock Dove","Columbidae","Birds"
"Buteo buteo","Buzzard","Accipitridae","Birds"
"Loxia curvirostra","Red Crossbill","Fringillidae","Birds"
"Motacilla cinerea","Grey Wagtail","Motacillidae","Birds"
"Carduelis chloris","European Greenfinch","Fringillidae","Birds"
"Tringa totanus","Common Redshank","Scolopacidae","Birds"
"Sylvia cantillans","Subalpine Warbler","Sylviidae","Birds"
"Coracias garrulus","Roller","Coraciidae","Birds"
"Anas strepera","Gadwall","Anatidae","Birds"
"Turdus philomelos","Song Thrush","Turdidae","Birds"
"Aquila pomarina","Lesser Spotted Eagle","Accipitridae","Birds"
"Merops apiaster","Bee-Eater","Meropidae","Birds"
"Monticola saxatilis","Rufous-Tailed Rock Thrush","Muscicapidae","Birds"
"Ficedula hypoleuca","Pied Flycatcher","Muscicapidae","Birds"
"Lullula arborea","Wood Lark","Alaudidae","Birds"
"Sylvia nisoria","Barred Warbler","Sylviidae","Birds"
"Falco vespertinus","Red-Footed Falcon","Falconidae","Birds"
"Acrocephalus scirpaceus","Eurasian Reed Warbler","Sylviidae","Birds"
"Podiceps grisegena","Red-Necked Grebe","Podicipedidae","Birds"
"Accipiter gentilis","Goshawk","Accipitridae","Birds"
"Hirundo rupestris","Eurasian Crag-Martin","Hirundinidae","Birds"
"Turdus viscivorus","Mistle Trush","Turdidae","Birds"
"Regulus regulus","Goldcrest","Reguliidae","Birds"
"Sitta neumayer","Western Rock-Nuthatch","Sittidae","Birds"
"Aegolius funereus","Boreal Owl","Strigidae","Birds"
"Bombycilla garrulus","Bohemian Waxwing","Bombycillidae","Birds"
"Podiceps auritus","Horned Grebe","Podicipedidae","Birds"
"Accipiter nisus","Eurasian Sparrowhawk","Accipitridae","Birds"
"Pyrrhocorax graculus","Yellow-Billed Chough","Corvidae","Birds"
"Serinus serinus","European Serin","Fringillidae","Birds"
"Oenanthe oenanthe","Northern Wheatear","Muscicapidae","Birds"
"Gavia stellata","Red-Throated Diver","Gaviidae","Birds"
"Dendrocopos leucotos","White-Backed Woodpecker","Picidae","Birds"
"Casmerodius albus","Great Egret","Ardeidae","Birds"
"Tichodroma muraria","Wallcreeper","Sittidae","Birds"
"Burhinus oedicnemus","Stone-Curlew","Burhinidae","Birds"
"Saxicola torquatus","Common Stonechat","Muscicapidae","Birds"
"Delichon urbicum","Northern House Martin","Hirundinidae","Birds"
"Asio flammeus","Short-Eared Owl","Strigidae","Birds"
"Falco tinnunculus","Common Kestrel","Falconidae","Birds"
"Regulus ignicapilla","Firecrest","Reguliidae","Birds"
"Podiceps cristatus","Great Crested Grebe","Podicipedidae","Birds"
"Mergellus albellus","Smew","Anatidae","Birds"
"Pica pica","Black-Billed Magpie","Corvidae","Birds"
"Hippolais polyglotta","Melodious Warbler","Sylviidae","Birds"
"Sylvia borin","Garden Warbler","Sylviidae","Birds"
"Dendrocopos syriacus","Syrian Woodpecker","Picidae","Birds"
"Milvus migrans","Black Kite","Accipitridae","Birds"
"Haliaeetus albicilla","White-Tailed Eagle","Accipitridae","Birds"
"Glareola pratincola","Collared Pratincole","Glareolidae","Birds"
"Phylloscopus trochilus","Willow Warbler","Sylviidae","Birds"
"Luscinia megarhynchos","Nightingale","Muscicapidae","Birds"
"Carpodacus erythrinus","Common Rosefinch","Fringillidae","Birds"
"Clangula hyemalis","Long-Tailed Duck","Anatidae","Birds"
"Luscinia svecica","Bluethroat","Muscicapidae","Birds"
"Anser fabalis","Bean Goose","Anatidae","Birds"
"Milvus milvus","Red Kite","Accipitridae","Birds"
"Sylvia hortensis","Orphean Warbler","Sylviidae","Birds"
"Sylvia melanocephala","Sardinian Warbler","Sylviidae","Birds"
"Ardea purpurea","Purple Heron","Ardeidae","Birds"
"Pluvialis squatarola","Grey Plover","Charadriidae","Birds"
"Sitta europaea","Wood Nuthatch","Sittidae","Birds"
"Bubo bubo","Eurasian Eagle Owl","Strigidae","Birds"
"Alauda arvensis","Skylark","Alaudidae","Birds"
"Aythya nyroca","Ferruginous Pochard","Anatidae","Birds"
"Miliaria calandra","Corn Bunting","Emberizidae","Birds"
"Hieraaetus pennatus","Booted Eagle","Accipitridae","Birds"
"Motacilla alba","White Wagtail","Motacillidae","Birds"
"Podiceps nigricollis","Black-Necked Grebe","Podicipedidae","Birds"
"Phylloscopus collybita","Chiffchaff","Sylviidae","Birds"
"Saxicola rubetra","Whinchat","Muscicapidae","Birds"
"Lagopus muta","Rock Ptarmigan","Phasianidae","Birds"
"Carduelis carduelis","European Goldfinch","Fringillidae","Birds"
"Tetrao urogallus","Capercaillie","Phasianidae","Birds"
"Larus ridibundus","Common Black-Headed Gull","Laridae","Birds"
"Apus apus","Common Swift","Apodidae","Birds"
"Hippolais pallida","Olivaceous Warbler","Sylviidae","Birds"
"Anser anser","Greylag Goose","Anatidae","Birds"
"Plegadis falcinellus","Glossy Ibis","Threskiornithidae","Birds"
"Parus lugubris","Sombre Tit","Paridae","Birds"
"Sterna sandvicensis","Sandwich Tern","Laridae","Birds"
"Phylloscopus sibilatrix","Wood Warbler","Sylviidae","Birds"
"Phylloscopus inornatus","Yellow-Browed Warbler","Sylviidae","Birds"
"Cygnus olor","Mute Swan","Anatidae","Birds"
"Hydrobates pelagicus","European Storm-Petrel","Hydrobatidae","Birds"
"Calidris alpina","Dunlin","Scolopacidae","Birds"
"Chlidonias hybrida","Whiskered Tern","Laridae","Birds"
"Turdus pilaris","Fieldfare","Turdidae","Birds"
"Ciconia nigra","Black Stork","Ciconiidae","Birds"
"Erithacus rubecula","Robin","Muscicapidae","Birds"
"Sterna hirundo","Common Tern","Laridae","Birds"
"Alectoris graeca","Rock Partridge","Phasianidae","Birds"
"Limosa limosa","Black-Tailed Godwit","Scolopacidae","Birds"
"Nucifraga caryocatactes","Spotted Nutcracker","Corvidae","Birds"
"Scolopax rusticola","Woodcock","Scolopacidae","Birds"
"Parus palustris","Black-Bibbed Tit","Paridae","Birds"
"Porzana parva","Little Crake","Rallidae","Birds"
"Acrocephalus melanopogon","Moustached Warbler","Sylviidae","Birds"
"Puffinus yelkouan","Mediterranean Shearwater","Procellariidae","Birds"
"Corvus corax","Common Raven","Corvidae","Birds"
"Bucephala clangula","Common Goldeneye","Anatidae","Birds"
"Botaurus stellaris","Bittern","Ardeidae","Birds"
"Parus montanus","Willow Tit","Paridae","Birds"
"Anthus campestris","Tawny Pipit","Motacillidae","Birds"
"Monticola solitarius","Blue Rock Thrush","Muscicapidae","Birds"
"Circus pygargus","Montagu's Harrier","Accipitridae","Birds"
"Corvus monedula","Eurasian Jackdaw","Corvidae","Birds"
"Rallus aquaticus","Water Rail","Rallidae","Birds"
"Sterna albifrons","Little Tern","Laridae","Birds"
"Actitis hypoleucos","Common Sandpiper","Scolopacidae","Birds"
"Glaucidium passerinum","Eurasian Pygmy-Owl","Strigidae","Birds"
"Lanius minor","Lesser Grey Shrike","Laniidae","Birds"
"Cettia cetti","Cetti's Warbler","Sylviidae","Birds"
"Larus michahellis","Yellow Legged Gull","Laridae","Birds"
"Passer montanus","Eurasian Tree Sparrow","Passeridae","Birds"
"Emberiza hortulana","Ortolan Bunting","Emberizidae","Birds"
"Himantopus himantopus","Black-Winged Stilt","Recurvirostridae","Birds"
"Numenius arquata","Eurasian Curlew","Scolopacidae","Birds"
"Otus scops","Eurasian Scops Owl","Strigidae","Birds"
"Haematopus ostralegus","Eurasian Oystercatcher","Haematopodidae","Birds"
"Columba oenas","Stock Dove","Columbidae","Birds"
"Ardeola ralloides","Squacco Heron","Ardeidae","Birds"
"Buteo lagopus","Rough-Legged Buzzard","Accipitridae","Birds"
"Turdus torquatus","Ring Ouzel","Turdidae","Birds"
"Coturnix coturnix","Common Quail","Phasianidae","Birds"
"Caprimulgus europaeus","European Nightjar","Caprimulgidae","Birds"
"Cinclus cinclus","Dipper","Cinclidae","Birds"
"Ixobrychus minutus","Little Bittern","Ardeidae","Birds"
"Streptopelia decaocto","Collared Dove","Columbidae","Birds"
"Pluvialis apricaria","European Golden Plover","Charadriidae","Birds"
"Acrocephalus palustris","Marsh Warbler","Sylviidae","Birds"
"Dryocopus martius","Black Woodpecker","Picidae","Birds"
"Aythya ferina","Common Pochard","Anatidae","Birds"
"Falco columbarius","Merlin","Falconidae","Birds"
"Locustella luscinioides","Savi's Warbler","Sylviidae","Birds"
"Turdus iliacus","Redwing","Turdidae","Birds"
"Tetrao tetrix","Black Grouse","Phasianidae","Birds"
"Upupa epops","Hoopoe","Upupidae","Birds"
"Gallinago gallinago","Common Snipe","Scolopacidae","Birds"
"Circus aeruginosus","Eurasian Marsh Harrier","Accipitridae","Birds"
"Tadorna tadorna","Common Shelduck","Anatidae","Birds"
"Gallinula chloropus","Common Moorhen","Rallidae","Birds"
"Circus macrourus","Pallid Harrier","Accipitridae","Birds"
"Anas platyrhynchos","Mallard","Anatidae","Birds"
"Streptopelia turtur","Turtle Dove","Columbidae","Birds"
"Corvus frugilegus","Rook","Corvidae","Birds"
"Anthus trivialis","Tree Pipit","Motacillidae","Birds"
"Certhia brachydactyla","Short-Toed Treecreeper","Certhiidae","Birds"
"Lanius collurio","Red-Backed Shrike","Laniidae","Birds"
"Larus argentatus","Herring Gull","Laridae","Birds"
"Circus cyaneus","Hen Harrier","Accipitridae","Birds"
"Falco naumanni","Lesser Kestrel","Falconidae","Birds"
"Phoenicurus phoenicurus","Redstart","Muscicapidae","Birds"
"Aythya fuligula","Tufted Duck","Anatidae","Birds"
"Parus caeruleus","Blue Tit","Paridae","Birds"
