Downloaded from https://mol.org on Jun 23, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the Spain region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Alectoris rufa","Red-Legged Partridge","Phasianidae","Birds"
"Haematopus ostralegus","Eurasian Oystercatcher","Haematopodidae","Birds"
"Larus melanocephalus","Mediterranean Gull","Laridae","Birds"
"Perdix perdix","Grey Partridge","Phasianidae","Birds"
"Gypaetus barbatus","Lammergeier","Accipitridae","Birds"
"Galerida malabarica","Malabar Lark","Alaudidae","Birds"
"Corvus frugilegus","Rook","Corvidae","Birds"
"Anthus pratensis","Meadow Pipit","Motacillidae","Birds"
"Streptopelia turtur","Turtle Dove","Columbidae","Birds"
"Ficedula parva","Red-Breasted Flycatcher","Muscicapidae","Birds"
"Anas platyrhynchos","Mallard","Anatidae","Birds"
"Fringilla coelebs","Chaffinch","Fringillidae","Birds"
"Pelagodroma marina","White-Faced Storm-Petrel","Hydrobatidae","Birds"
"Stercorarius pomarinus","Pomarine Skua","Stercorariidae","Birds"
"Phylloscopus ibericus","Iberian Chiffchaff","Sylviidae","Birds"
"Falco biarmicus","Lanner","Falconidae","Birds"
"Gallinula chloropus","Common Moorhen","Rallidae","Birds"
"Sterna anaethetus","Bridled Tern","Laridae","Birds"
"Tadorna tadorna","Common Shelduck","Anatidae","Birds"
"Circus aeruginosus","Eurasian Marsh Harrier","Accipitridae","Birds"
"Oceanodroma monteiroi","Monteiro's Storm Petrel","Hydrobatidae","Birds"
"Gallinago gallinago","Common Snipe","Scolopacidae","Birds"
"Upupa epops","Hoopoe","Upupidae","Birds"
"Turdus iliacus","Redwing","Turdidae","Birds"
"Pandion haliaetus","Osprey","Accipitridae","Birds"
"Locustella luscinioides","Savi's Warbler","Sylviidae","Birds"
"Falco columbarius","Merlin","Falconidae","Birds"
"Aythya ferina","Common Pochard","Anatidae","Birds"
"Dryocopus martius","Black Woodpecker","Picidae","Birds"
"Pluvialis apricaria","European Golden Plover","Charadriidae","Birds"
"Ixobrychus minutus","Little Bittern","Ardeidae","Birds"
"Cinclus cinclus","Dipper","Cinclidae","Birds"
"Streptopelia roseogrisea","African Collared-Dove","Columbidae","Birds"
"Caprimulgus europaeus","European Nightjar","Caprimulgidae","Birds"
"Asio capensis","Marsh Owl","Strigidae","Birds"
"Coturnix coturnix","Common Quail","Phasianidae","Birds"
"Oceanodroma leucorhoa","Leach's Storm-Petrel","Hydrobatidae","Birds"
"Turdus torquatus","Ring Ouzel","Turdidae","Birds"
"Columba junoniae","White-Tailed Laurel Pigeon","Columbidae","Birds"
"Phoenicurus moussieri","Moussier's Redstart","Muscicapidae","Birds"
"Hippolais opaca","Western Olivaceous Warbler","Sylviidae","Birds"
"Buteo buteo","Buzzard","Accipitridae","Birds"
"Calandrella rufescens","Lesser Short-Toed Lark","Alaudidae","Birds"
"Sylvia sarda","Marmora's Warbler","Sylviidae","Birds"
"Columba livia","Rock Dove","Columbidae","Birds"
"Anthus spinoletta","Water Pipit","Motacillidae","Birds"
"Ardeola ralloides","Squacco Heron","Ardeidae","Birds"
"Bulweria bulwerii","Bulwer's Petrel","Procellariidae","Birds"
"Parus cristatus","Crested Tit","Paridae","Birds"
"Columba oenas","Stock Dove","Columbidae","Birds"
"Tringa erythropus","Spotted Redshank","Scolopacidae","Birds"
"Actitis hypoleucos","Common Sandpiper","Scolopacidae","Birds"
"Motacilla flava","Yellow Wagtail","Motacillidae","Birds"
"Sterna albifrons","Little Tern","Laridae","Birds"
"Sturnus vulgaris","Common Starling","Sturnidae","Birds"
"Oxyura leucocephala","White-Headed Duck","Anatidae","Birds"
"Rallus aquaticus","Water Rail","Rallidae","Birds"
"Sterna bengalensis","Lesser Crested Tern","Laridae","Birds"
"Athene noctua","Little Owl","Strigidae","Birds"
"Pyrrhula pyrrhula","Common Bullfinch","Fringillidae","Birds"
"Falco pelegrinoides","Barbary Falcon","Falconidae","Birds"
"Corvus monedula","Eurasian Jackdaw","Corvidae","Birds"
"Larus cachinnans","Caspian Gull","Laridae","Birds"
"Catharacta skua","Great Skua","Stercorariidae","Birds"
"Circus pygargus","Montagu's Harrier","Accipitridae","Birds"
"Puffinus griseus","Sooty Shearwater","Procellariidae","Birds"
"Anthus petrosus","Rock Pipit","Motacillidae","Birds"
"Phalacrocorax carbo","Cormorant","Phalacrocoracidae","Birds"
"Falco naumanni","Lesser Kestrel","Falconidae","Birds"
"Circus cyaneus","Hen Harrier","Accipitridae","Birds"
"Larus argentatus","Herring Gull","Laridae","Birds"
"Lanius collurio","Red-Backed Shrike","Laniidae","Birds"
"Certhia brachydactyla","Short-Toed Treecreeper","Certhiidae","Birds"
"Streptopelia decaocto","Collared Dove","Columbidae","Birds"
"Uria aalge","Guillemot","Alcidae","Birds"
"Anthus trivialis","Tree Pipit","Motacillidae","Birds"
"Recurvirostra avosetta","Pied Avocet","Recurvirostridae","Birds"
"Loxia curvirostra","Red Crossbill","Fringillidae","Birds"
"Elanus caeruleus","Black-Winged Kite","Accipitridae","Birds"
"Sterna hirundo","Common Tern","Laridae","Birds"
"Vanellus vanellus","Lapwing","Charadriidae","Birds"
"Grus grus","Common Crane","Gruidae","Birds"
"Bucanetes githagineus","Trumpeter Finch","Fringillidae","Birds"
"Alectoris barbara","Barbary Partridge","Phasianidae","Birds"
"Erithacus rubecula","Robin","Muscicapidae","Birds"
"Sterna caspia","Caspian Tern","Laridae","Birds"
"Ciconia nigra","Black Stork","Ciconiidae","Birds"
"Melanocorypha calandra","Calandra Lark","Alaudidae","Birds"
"Calandrella brachydactyla","Short-Toed Lark","Alaudidae","Birds"
"Otus scops","Eurasian Scops Owl","Strigidae","Birds"
"Numenius arquata","Eurasian Curlew","Scolopacidae","Birds"
"Rissa tridactyla","Kittiwake","Laridae","Birds"
"Himantopus himantopus","Black-Winged Stilt","Recurvirostridae","Birds"
"Apus unicolor","Plain Swift","Apodidae","Birds"
"Falco peregrinus","Peregrine Falcon","Falconidae","Birds"
"Emberiza hortulana","Ortolan Bunting","Emberizidae","Birds"
"Aegypius monachus","Monk Vulture","Accipitridae","Birds"
"Passer montanus","Eurasian Tree Sparrow","Passeridae","Birds"
"Troglodytes troglodytes","Winter Wren","Troglodytidae","Birds"
"Tetrax tetrax","Little Bustard","Otididae","Birds"
"Puffinus gravis","Great Shearwater","Procellariidae","Birds"
"Larus michahellis","Yellow Legged Gull","Laridae","Birds"
"Picus vaillantii","Levaillant's Woodpecker","Picidae","Birds"
"Egretta garzetta","Mascarene Reef-Egret","Ardeidae","Birds"
"Locustella naevia","Grasshopper Warbler","Sylviidae","Birds"
"Anas penelope","Eurasian Wigeon","Anatidae","Birds"
"Lanius meridionalis","Southern Grey Shrike","Laniidae","Birds"
