Downloaded from https://mol.org on Jun 20, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the Arizona region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Crotophaga sulcirostris","Groove-Billed Ani","Cuculidae","Birds"
"Columbina passerina","Common Ground-Dove","Columbidae","Birds"
"Anser albifrons","Greater White-Fronted Goose","Anatidae","Birds"
"Falco sparverius","American Kestrel","Falconidae","Birds"
"Cathartes aura","Turkey Vulture","Cathartidae","Birds"
"Picoides dorsalis","American Three-Toed Woodpecker","Picidae","Birds"
"Fulica americana","American Coot","Rallidae","Birds"
"Pipilo chlorurus","Green-Tailed Towhee","Emberizidae","Birds"
"Parus atricapillus","Black-Capped Chickadee","Paridae","Birds"
"Buteogallus anthracinus","Common Black-Hawk","Accipitridae","Birds"
"Zoothera pinicola","Aztec Thrush","Turdidae","Birds"
"Contopus pertinax","Greater Pewee","Tyrannidae","Birds"
"Sialia mexicana","Western Bluebird","Turdidae","Birds"
"Laterallus jamaicensis","Black Rail","Rallidae","Birds"
"Colaptes auratus","Northern Flicker","Picidae","Birds"
"Catharus fuscescens","Veery","Turdidae","Birds"
"Sphyrapicus ruber","Red-Breasted Sapsucker","Picidae","Birds"
"Strix occidentalis","Spotted Owl","Strigidae","Birds"
"Mergus merganser","Goosander","Anatidae","Birds"
"Gavia immer","Common Loon","Gaviidae","Birds"
"Carduelis pinus","Pine Siskin","Fringillidae","Birds"
"Passerina cyanea","Indigo Bunting","Emberizidae","Birds"
"Leucosticte atrata","Black Rosy Finch","Fringillidae","Birds"
"Centrocercus urophasianus","Sage Grouse","Phasianidae","Birds"
"Zonotrichia leucophrys","White-Crowned Sparrow","Emberizidae","Birds"
"Regulus calendula","Ruby-Crowned Kinglet","Reguliidae","Birds"
"Tachycineta bicolor","Tree Swallow","Hirundinidae","Birds"
"Selasphorus sasin","Allen's Hummingbird","Trochilidae","Birds"
"Lanius excubitor","Great Grey Shrike","Laniidae","Birds"
"Pluvialis squatarola","Grey Plover","Charadriidae","Birds"
"Charadrius semipalmatus","Semipalmated Plover","Charadriidae","Birds"
"Larus delawarensis","Ring-Billed Gull","Laridae","Birds"
"Otus flammeolus","Flammulated Owl","Strigidae","Birds"
"Molothrus ater","Brown-Headed Cowbird","Icteridae","Birds"
"Asio otus","Long-Eared Owl","Strigidae","Birds"
"Lophodytes cucullatus","Hooded Merganser","Anatidae","Birds"
"Dendroica occidentalis","Hermit Warbler","Parulidae","Birds"
"Chlidonias niger","Black Tern","Laridae","Birds"
"Falco femoralis","Aplomado Falcon","Falconidae","Birds"
"Platalea ajaja","Roseate Spoonbill","Threskiornithidae","Birds"
"Passerina versicolor","Varied Bunting","Emberizidae","Birds"
"Parus gambeli","Mountain Chickadee","Paridae","Birds"
"Euphagus cyanocephalus","Brewer's Blackbird","Icteridae","Birds"
"Recurvirostra americana","American Avocet","Recurvirostridae","Birds"
"Podiceps nigricollis","Black-Necked Grebe","Podicipedidae","Birds"
"Anas discors","Blue-Winged Teal","Anatidae","Birds"
"Catharus guttatus","Hermit Thrush","Turdidae","Birds"
"Callipepla californica","California Quail","Odontophoridae","Birds"
"Glaucidium brasilianum","Ferruginous Pygmy-Owl","Strigidae","Birds"
"Geothlypis trichas","Common Yellowthroat","Parulidae","Birds"
"Anas americana","American Wigeon","Anatidae","Birds"
"Anas crecca","Common Teal","Anatidae","Birds"
