Downloaded from https://mol.org on Jun 20, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the California region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Carduelis tristis","American Goldfinch","Fringillidae","Birds"
"Anthus spragueii","Sprague's Pipit","Motacillidae","Birds"
"Fulmarus glacialis","Fulmar","Procellariidae","Birds"
"Larus ridibundus","Common Black-Headed Gull","Laridae","Birds"
"Piranga ludoviciana","Western Tanager","Cardinalidae","Birds"
"Selasphorus rufus","Rufous Hummingbird","Trochilidae","Birds"
"Dendragapus obscurus","Dusky Grouse","Phasianidae","Birds"
"Oreortyx pictus","Mountain Quail","Odontophoridae","Birds"
"Corvus brachyrhynchos","American Crow","Corvidae","Birds"
"Synthliboramphus antiquus","Ancient Murrelet","Alcidae","Birds"
"Passerina caerulea","Blue Grosbeak","Emberizidae","Birds"
"Piranga flava","Hepatic Tanager","Cardinalidae","Birds"
"Anas strepera","Gadwall","Anatidae","Birds"
"Aphelocoma insularis","Island Scrub Jay","Corvidae","Birds"
"Crotophaga sulcirostris","Groove-Billed Ani","Cuculidae","Birds"
"Meleagris gallopavo","Common Turkey","Phasianidae","Birds"
"Anthus cervinus","Red-Throated Pipit","Motacillidae","Birds"
"Tyrannus verticalis","Western Kingbird","Tyrannidae","Birds"
"Agelaius phoeniceus","Red-Winged Blackbird","Icteridae","Birds"
"Puffinus bulleri","Grey-Backed Shearwater","Procellariidae","Birds"
"Thryomanes bewickii","Bewick's Wren","Troglodytidae","Birds"
"Melanerpes lewis","Lewis' Woodpecker","Picidae","Birds"
"Phasianus colchicus","Common Pheasant","Phasianidae","Birds"
"Aythya americana","Redhead","Anatidae","Birds"
"Athene cunicularia","Burrowing Owl","Strigidae","Birds"
"Oxyura jamaicensis","Ruddy Duck","Anatidae","Birds"
"Melozone fuscus","null","Emberizidae","Birds"
"Chordeiles minor","Common Nighthawk","Caprimulgidae","Birds"
"Sterna forsteri","Forster's Tern","Laridae","Birds"
"Carpodacus mexicanus","House Finch","Fringillidae","Birds"
"Bubulcus ibis","Cattle Egret","Ardeidae","Birds"
"Limosa fedoa","Marbled Godwit","Scolopacidae","Birds"
"Myadestes townsendi","Townsend's Solitaire","Turdidae","Birds"
"Himantopus mexicanus","Black-Necked Stilt","Recurvirostridae","Birds"
"Strix nebulosa","Great Grey Owl","Strigidae","Birds"
"Sturnella neglecta","Western Meadowlark","Icteridae","Birds"
"Larus schistisagus","Slaty-Backed Gull","Laridae","Birds"
"Pooecetes gramineus","Vesper Sparrow","Emberizidae","Birds"
"Aegolius acadicus","Northern Saw-Whet Owl","Strigidae","Birds"
"Picoides arcticus","Black-Backed Woodpecker","Picidae","Birds"
"Anas clypeata","Northern Shoveler","Anatidae","Birds"
"Carduelis psaltria","Dark-Backed Goldfinch","Fringillidae","Birds"
"Sterna sandvicensis","Sandwich Tern","Laridae","Birds"
"Spizella atrogularis","Black-Chinned Sparrow","Emberizidae","Birds"
"Empidonax wrightii","Grey Flycatcher","Tyrannidae","Birds"
"Nycticorax nycticorax","Black-Crowned Night-Heron","Ardeidae","Birds"
"Phalaenoptilus nuttallii","Common Poorwill","Caprimulgidae","Birds"
"Larus livens","Yellow-Footed Gull","Laridae","Birds"
"Sitta canadensis","Red-Breasted Nuthatch","Sittidae","Birds"
"Toxostoma crissale","Crissal Thrasher","Mimidae","Birds"
"Vermivora celata","Orange-Crowned Warbler","Parulidae","Birds"
"Sitta pygmaea","Pygmy Nuthatch","Sittidae","Birds"
"Sayornis saya","Say's Phoebe","Tyrannidae","Birds"
"Piranga rubra","Summer Tanager","Cardinalidae","Birds"
"Podilymbus podiceps","Pied-Billed Grebe","Podicipedidae","Birds"
"Spizella breweri","Brewer's Sparrow","Emberizidae","Birds"
"Empidonax traillii","Willow Flycatcher","Tyrannidae","Birds"
"Brotogeris versicolurus","White-Winged Parakeet","Psittacidae","Birds"
"Grus canadensis","Sandhill Crane","Gruidae","Birds"
"Melospiza melodia","Song Sparrow","Emberizidae","Birds"
"Phaethon aethereus","Red-Billed Tropicbird","Phaethontidae","Birds"
"Anas cyanoptera","Cinnamon Teal","Anatidae","Birds"
"Caprimulgus arizonae","Whip-Poor-Will (Mexican)","Caprimulgidae","Birds"
"Charadrius alexandrinus","Kentish Plover","Charadriidae","Birds"
"Asio otus","Long-Eared Owl","Strigidae","Birds"
"Molothrus ater","Brown-Headed Cowbird","Icteridae","Birds"
"Otus flammeolus","Flammulated Owl","Strigidae","Birds"
"Larus delawarensis","Ring-Billed Gull","Laridae","Birds"
"Fregata magnificens","Magnificent Frigatebird","Fregatidae","Birds"
"Charadrius semipalmatus","Semipalmated Plover","Charadriidae","Birds"
"Catharacta maccormicki","South Polar Skua","Stercorariidae","Birds"
"Pluvialis squatarola","Grey Plover","Charadriidae","Birds"
"Lanius excubitor","Great Grey Shrike","Laniidae","Birds"
"Selasphorus sasin","Allen's Hummingbird","Trochilidae","Birds"
"Hirundo rustica","Barn Swallow","Hirundinidae","Birds"
"Catherpes mexicanus","Canyon Wren","Troglodytidae","Birds"
"Aythya marila","Greater Scaup","Anatidae","Birds"
"Numenius tahitiensis","Bristle-Thighed Curlew","Scolopacidae","Birds"
"Buteo albonotatus","Zone-Tailed Hawk","Accipitridae","Birds"
"Catoptrophorus semipalmatus","Willet","Scolopacidae","Birds"
"Fratercula cirrhata","Tufted Puffin","Alcidae","Birds"
"Petrochelidon pyrrhonota","Cliff Swallow","Hirundinidae","Birds"
"Synthliboramphus craveri","Craveri's Murrelet","Alcidae","Birds"
"Pipilo aberti","Abert's Towhee","Emberizidae","Birds"
"Ammodramus nelsoni","Nelson's Sparrow","Emberizidae","Birds"
"Porzana carolina","Sora","Rallidae","Birds"
"Picoides albolarvatus","White-Headed Woodpecker","Picidae","Birds"
"Parabuteo unicinctus","Harris' Hawk","Accipitridae","Birds"
"Polioptila californica","California Gnatcatcher","Polioptilidae","Birds"
"Phalaropus fulicarius","Grey Phalarope","Scolopacidae","Birds"
"Dendroica nigrescens","Black-Throated Grey Warbler","Parulidae","Birds"
"Larus glaucescens","Glaucous-Winged Gull","Laridae","Birds"
"Bucephala islandica","Barrow's Goldeneye","Anatidae","Birds"
"Calamospiza melanocorys","Lark Bunting","Emberizidae","Birds"
"Passer domesticus","House Sparrow","Passeridae","Birds"
"Calidris minutilla","Least Sandpiper","Scolopacidae","Birds"
"Gavia arctica","Black-Throated Diver","Gaviidae","Birds"
"Caprimulgus vociferus","Whip-Poor-Will","Caprimulgidae","Birds"
"Elanus leucurus","White-Tailed Kite","Accipitridae","Birds"
"Dendroica townsendi","Townsend's Warbler","Parulidae","Birds"
"Calidris alpina","Dunlin","Scolopacidae","Birds"
"Larus minutus","Little Gull","Laridae","Birds"
"Melozone aberti","Abert's Towhee","Emberizidae","Birds"
"Empidonax difficilis","Pacific-Slope Flycatcher","Tyrannidae","Birds"
"Oceanodroma melania","Black Storm-Petrel","Hydrobatidae","Birds"
"Cathartes aura","Turkey Vulture","Cathartidae","Birds"
"Falco sparverius","American Kestrel","Falconidae","Birds"
"Calidris alba","Sanderling","Scolopacidae","Birds"
"Anser albifrons","Greater White-Fronted Goose","Anatidae","Birds"
"Columbina passerina","Common Ground-Dove","Columbidae","Birds"
"Vireo vicinior","Grey Vireo","Vireonidae","Birds"
"Oreoscoptes montanus","Sage Thrasher","Mimidae","Birds"
"Pipilo maculatus","Spotted Towhee","Emberizidae","Birds"
"Parkesia noveboracensis","Northern Waterthrush","Parulidae","Birds"
"Contopus cooperi","Olive-Sided Flycatcher","Tyrannidae","Birds"
"Vermivora ruficapilla","Nashville Warbler","Parulidae","Birds"
"Colaptes chrysoides","Gilded Flicker","Picidae","Birds"
"Buteo swainsoni","Swainson's Hawk","Accipitridae","Birds"
"Melanitta fusca","White-Winged Scoter","Anatidae","Birds"
"Puffinus creatopus","Pink-Footed Shearwater","Procellariidae","Birds"
"Alectoris chukar","Chukar","Phasianidae","Birds"
"Calcarius lapponicus","Lapland Longspur","Emberizidae","Birds"
"Anas crecca","Common Teal","Anatidae","Birds"
"Anas americana","American Wigeon","Anatidae","Birds"
"Geothlypis trichas","Common Yellowthroat","Parulidae","Birds"
"Callipepla californica","California Quail","Odontophoridae","Birds"
"Catharus guttatus","Hermit Thrush","Turdidae","Birds"
"Anas discors","Blue-Winged Teal","Anatidae","Birds"
"Podiceps nigricollis","Black-Necked Grebe","Podicipedidae","Birds"
"Chamaea fasciata","Wrentit","Timaliidae","Birds"
"Buteo lineatus","Red-Shouldered Hawk","Accipitridae","Birds"
"Recurvirostra americana","American Avocet","Recurvirostridae","Birds"
"Euphagus cyanocephalus","Brewer's Blackbird","Icteridae","Birds"
"Parus gambeli","Mountain Chickadee","Paridae","Birds"
"Zoothera naevia","Varied Thrush","Turdidae","Birds"
"Sterna elegans","Elegant Tern","Laridae","Birds"
"Sterna maxima","Royal Tern","Laridae","Birds"
"Platalea ajaja","Roseate Spoonbill","Threskiornithidae","Birds"
"Chlidonias niger","Black Tern","Laridae","Birds"
"Dendroica occidentalis","Hermit Warbler","Parulidae","Birds"
"Lophodytes cucullatus","Hooded Merganser","Anatidae","Birds"
"Salpinctes obsoletus","Rock Wren","Troglodytidae","Birds"
"Aythya valisineria","Canvasback","Anatidae","Birds"
"Egretta tricolor","Tricoloured Heron","Ardeidae","Birds"
"Sialia currucoides","Mountain Bluebird","Turdidae","Birds"
"Bombycilla cedrorum","Cedar Waxwing","Bombycillidae","Birds"
"Dendragapus fuliginosus","Sooty Grouse","Phasianidae","Birds"
"Xanthocephalus xanthocephalus","Yellow-Headed Blackbird","Icteridae","Birds"
"Glaucidium gnoma","Northern Pygmy-Owl","Strigidae","Birds"
"Tachycineta bicolor","Tree Swallow","Hirundinidae","Birds"
"Regulus calendula","Ruby-Crowned Kinglet","Reguliidae","Birds"
"Aphriza virgata","Surfbird","Scolopacidae","Birds"
"Zonotrichia leucophrys","White-Crowned Sparrow","Emberizidae","Birds"
"Centrocercus urophasianus","Sage Grouse","Phasianidae","Birds"
"Perisoreus canadensis","Grey Jay","Corvidae","Birds"
"Leucosticte atrata","Black Rosy Finch","Fringillidae","Birds"
"Passerina cyanea","Indigo Bunting","Emberizidae","Birds"
"Carduelis pinus","Pine Siskin","Fringillidae","Birds"
"Tyrannus tyrannus","Eastern Kingbird","Tyrannidae","Birds"
"Gavia immer","Common Loon","Gaviidae","Birds"
"Fringilla montifringilla","Brambling","Fringillidae","Birds"
"Mergus merganser","Goosander","Anatidae","Birds"
"Strix occidentalis","Spotted Owl","Strigidae","Birds"
"Sphyrapicus ruber","Red-Breasted Sapsucker","Picidae","Birds"
"Colaptes auratus","Northern Flicker","Picidae","Birds"
"Laterallus jamaicensis","Black Rail","Rallidae","Birds"
"Sialia mexicana","Western Bluebird","Turdidae","Birds"
"Branta bernicla","Brant","Anatidae","Birds"
"Buteogallus anthracinus","Common Black-Hawk","Accipitridae","Birds"
"Parus atricapillus","Black-Capped Chickadee","Paridae","Birds"
"Pipilo chlorurus","Green-Tailed Towhee","Emberizidae","Birds"
"Fulica americana","American Coot","Rallidae","Birds"
"Picoides dorsalis","American Three-Toed Woodpecker","Picidae","Birds"
