Downloaded from https://mol.org on Jun 20, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the Delaware region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Catharus ustulatus","Swainson's Thrush","Turdidae","Birds"
"Podilymbus podiceps","Pied-Billed Grebe","Podicipedidae","Birds"
"Dendroica virens","Black-Throated Green Warbler","Parulidae","Birds"
"Piranga rubra","Summer Tanager","Cardinalidae","Birds"
"Plegadis falcinellus","Glossy Ibis","Threskiornithidae","Birds"
"Thryothorus ludovicianus","Carolina Wren","Troglodytidae","Birds"
"Sitta canadensis","Red-Breasted Nuthatch","Sittidae","Birds"
"Nycticorax nycticorax","Black-Crowned Night-Heron","Ardeidae","Birds"
"Charadrius melodus","Piping Plover","Charadriidae","Birds"
"Anas clypeata","Northern Shoveler","Anatidae","Birds"
"Calidris pusilla","Semipalmated Sandpiper","Scolopacidae","Birds"
"Accipiter cooperii","Cooper's Hawk","Accipitridae","Birds"
"Aegolius acadicus","Northern Saw-Whet Owl","Strigidae","Birds"
"Pooecetes gramineus","Vesper Sparrow","Emberizidae","Birds"
"Cygnus olor","Mute Swan","Anatidae","Birds"
"Himantopus mexicanus","Black-Necked Stilt","Recurvirostridae","Birds"
"Limosa fedoa","Marbled Godwit","Scolopacidae","Birds"
"Bubulcus ibis","Cattle Egret","Ardeidae","Birds"
"Carpodacus mexicanus","House Finch","Fringillidae","Birds"
"Sterna forsteri","Forster's Tern","Laridae","Birds"
"Larus minutus","Little Gull","Laridae","Birds"
"Calidris alpina","Dunlin","Scolopacidae","Birds"
"Calidris fuscicollis","White-Rumped Sandpiper","Scolopacidae","Birds"
"Caprimulgus vociferus","Whip-Poor-Will","Caprimulgidae","Birds"
"Calidris minutilla","Least Sandpiper","Scolopacidae","Birds"
"Passer domesticus","House Sparrow","Passeridae","Birds"
"Parula americana","Northern Parula","Parulidae","Birds"
"Porzana carolina","Sora","Rallidae","Birds"
"Alca torda","Razorbill","Alcidae","Birds"
"Bucephala clangula","Common Goldeneye","Anatidae","Birds"
"Melanitta perspicillata","Surf Scoter","Anatidae","Birds"
"Chen caerulescens","Snow Goose","Anatidae","Birds"
"Troglodytes aedon","House Wren","Troglodytidae","Birds"
"Carduelis hornemanni","Arctic Redpoll","Fringillidae","Birds"
"Chordeiles minor","Common Nighthawk","Caprimulgidae","Birds"
"Oxyura jamaicensis","Ruddy Duck","Anatidae","Birds"
"Falco sparverius","American Kestrel","Falconidae","Birds"
"Pheucticus ludovicianus","Rose-Breasted Grosbeak","Cardinalidae","Birds"
"Buteo jamaicensis","Red-Tailed Hawk","Accipitridae","Birds"
"Aythya americana","Redhead","Anatidae","Birds"
"Phasianus colchicus","Common Pheasant","Phasianidae","Birds"
"Agelaius phoeniceus","Red-Winged Blackbird","Icteridae","Birds"
"Meleagris gallopavo","Common Turkey","Phasianidae","Birds"
"Colinus virginianus","Northern Bobwhite","Odontophoridae","Birds"
"Chaetura pelagica","Chimney Swift","Apodidae","Birds"
"Anas strepera","Gadwall","Anatidae","Birds"
"Coccyzus erythropthalmus","Black-Billed Cuckoo","Cuculidae","Birds"
"Melanerpes carolinus","Red-Bellied Woodpecker","Picidae","Birds"
"Passerina caerulea","Blue Grosbeak","Emberizidae","Birds"
"Falco peregrinus","Peregrine Falcon","Falconidae","Birds"
"Contopus virens","Eastern Wood-Pewee","Tyrannidae","Birds"
"Dendroica pinus","Pine Warbler","Parulidae","Birds"
"Corvus brachyrhynchos","American Crow","Corvidae","Birds"
"Larus ridibundus","Common Black-Headed Gull","Laridae","Birds"
"Fulmarus glacialis","Fulmar","Procellariidae","Birds"
"Carduelis tristis","American Goldfinch","Fringillidae","Birds"
"Dendroica discolor","Prairie Warbler","Parulidae","Birds"
"Dendroica dominica","Yellow-Throated Warbler","Parulidae","Birds"
"Circus cyaneus","Hen Harrier","Accipitridae","Birds"
"Arenaria interpres","Ruddy Turnstone","Scolopacidae","Birds"
"Sturnella magna","Eastern Meadowlark","Icteridae","Birds"
"Melospiza melodia","Song Sparrow","Emberizidae","Birds"
"Empidonax traillii","Willow Flycatcher","Tyrannidae","Birds"
"Myiarchus crinitus","Great Crested Flycatcher","Tyrannidae","Birds"
"Icterus spurius","Orchard Oriole","Icteridae","Birds"
"Myiopsitta monachus","Monk Parakeet","Psittacidae","Birds"
"Mimus polyglottos","Northern Mockingbird","Mimidae","Birds"
"Sterna hirundo","Common Tern","Laridae","Birds"
"Limnodromus scolopaceus","Long-Billed Dowitcher","Scolopacidae","Birds"
"Branta canadensis","Canada Goose","Anatidae","Birds"
"Picoides villosus","Hairy Woodpecker","Picidae","Birds"
"Bonasa umbellus","Ruffed Grouse","Phasianidae","Birds"
"Philomachus pugnax","Ruff","Scolopacidae","Birds"
"Riparia riparia","Sand Martin","Hirundinidae","Birds"
"Aquila chrysaetos","Golden Eagle","Accipitridae","Birds"
"Anas acuta","Northern Pintail","Anatidae","Birds"
"Haliaeetus leucocephalus","Bald Eagle","Accipitridae","Birds"
"Dendroica castanea","Bay-Breasted Warbler","Parulidae","Birds"
"Podiceps grisegena","Red-Necked Grebe","Podicipedidae","Birds"
"Accipiter gentilis","Goshawk","Accipitridae","Birds"
"Oporornis philadelphia","Mourning Warbler","Parulidae","Birds"
"Caprimulgus carolinensis","Chuck-Will's-Widow","Caprimulgidae","Birds"
"Coragyps atratus","Black Vulture","Cathartidae","Birds"
"Tringa melanoleuca","Greater Yellowlegs","Scolopacidae","Birds"
"Rynchops niger","Black Skimmer","Laridae","Birds"
"Melospiza lincolnii","Lincoln's Sparrow","Emberizidae","Birds"
"Calidris ferruginea","Curlew Sandpiper","Scolopacidae","Birds"
"Vireo flavifrons","Yellow-Throated Vireo","Vireonidae","Birds"
"Ammodramus caudacutus","Sharp-Tailed Sparrow","Emberizidae","Birds"
"Piranga olivacea","Scarlet Tanager","Cardinalidae","Birds"
"Puffinus puffinus","Manx Shearwater","Procellariidae","Birds"
"Egretta thula","Snowy Egret","Ardeidae","Birds"
"Larus thayeri","Thayer's Gull","Laridae","Birds"
"Sayornis phoebe","Eastern Phoebe","Tyrannidae","Birds"
"Parkesia motacilla","Louisiana Waterthrush","Parulidae","Birds"
"Certhia americana","American Creeper","Certhiidae","Birds"
"Limosa haemastica","Hudsonian Godwit","Scolopacidae","Birds"
"Cygnus columbianus","Tundra Swan","Anatidae","Birds"
"Corvus corax","Common Raven","Corvidae","Birds"
"Buteo platypterus","Broad-Winged Hawk","Accipitridae","Birds"
"Ixobrychus exilis","Least Bittern","Ardeidae","Birds"
"Sterna nilotica","Gull-Billed Tern","Laridae","Birds"
"Podiceps auritus","Horned Grebe","Podicipedidae","Birds"
"Wilsonia pusilla","Wilson's Warbler","Parulidae","Birds"
"Cistothorus palustris","Marsh Wren","Troglodytidae","Birds"
"Corvus ossifragus","Fish Crow","Corvidae","Birds"
"Calidris mauri","Western Sandpiper","Scolopacidae","Birds"
"Megascops asio","Eastern Screech Owl","Strigidae","Birds"
"Helmitheros vermivorum","Worm-Eating Warbler","Parulidae","Birds"
"Dendroica palmarum","Palm Warbler","Parulidae","Birds"
"Pinicola enucleator","Pine Grosbeak","Fringillidae","Birds"
"Turdus migratorius","American Robin","Turdidae","Birds"
"Falco columbarius","Merlin","Falconidae","Birds"
"Vireo gilvus","Warbling Vireo","Vireonidae","Birds"
"Pluvialis dominica","American Golden-Plover","Charadriidae","Birds"
"Calidris canutus","Red Knot","Scolopacidae","Birds"
"Dumetella carolinensis","Gray Catbird","Mimidae","Birds"
"Casmerodius albus","Great Egret","Ardeidae","Birds"
"Charadrius semipalmatus","Semipalmated Plover","Charadriidae","Birds"
"Empidonax alnorum","Alder Flycatcher","Tyrannidae","Birds"
"Melanitta nigra","Common Scoter","Anatidae","Birds"
"Charadrius vociferus","Kildeer","Charadriidae","Birds"
"Numenius phaeopus","Whimbrel","Scolopacidae","Birds"
"Anas penelope","Eurasian Wigeon","Anatidae","Birds"
"Dendroica pensylvanica","Chestnut-Sided Warbler","Parulidae","Birds"
"Anas rubripes","American Black Duck","Anatidae","Birds"
"Stercorarius parasiticus","Arctic Skua","Stercorariidae","Birds"
"Regulus satrapa","Golden-Crowned Kinglet","Reguliidae","Birds"
"Bartramia longicauda","Upland Sandpiper","Scolopacidae","Birds"
"Pipilo erythrophthalmus","Eastern Towhee","Emberizidae","Birds"
