Downloaded from https://mol.org on Jun 20, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the Hawaii region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Aythya fuligula","Tufted Duck","Anatidae","Birds"
"Oxyura jamaicensis","Ruddy Duck","Anatidae","Birds"
"Psittirostra psittacea","Ou","Fringillidae","Birds"
"Hemignathus munroi","Akiapolaau","Fringillidae","Birds"
"Phalaropus fulicarius","Grey Phalarope","Scolopacidae","Birds"
"Calidris alba","Sanderling","Scolopacidae","Birds"
"Buteo solitarius","Hawaiian Hawk","Accipitridae","Birds"
"Pterodroma solandri","Solander's Petrel","Procellariidae","Birds"
"Anser albifrons","Greater White-Fronted Goose","Anatidae","Birds"
"Anas penelope","Eurasian Wigeon","Anatidae","Birds"
"Numenius phaeopus","Whimbrel","Scolopacidae","Birds"
"Oceanodroma leucorhoa","Leach's Storm-Petrel","Hydrobatidae","Birds"
"Puffinus nativitatis","Christmas Island Shearwater","Procellariidae","Birds"
"Hemignathus parvus","Anianiau","Fringillidae","Birds"
"Pluvialis fulva","Pacific Golden Plover","Charadriidae","Birds"
"Geopelia striata","Zebra Dove","Columbidae","Birds"
"Myadestes lanaiensis","Hawaiian Thrush","Turdidae","Birds"
"Chen caerulescens","Snow Goose","Anatidae","Birds"
"Melamprosops phaeosoma","Poo-Uli","Fringillidae","Birds"
"Calidris melanotos","Pectoral Sandpiper","Scolopacidae","Birds"
"Paroreomyza montana","Maui Creeper","Fringillidae","Birds"
"Vestiaria coccinea","Iiwi","Fringillidae","Birds"
"Collocalia bartschi","Guam Swiftlet","Apodidae","Birds"
"Pandion haliaetus","Osprey","Accipitridae","Birds"
"Tyto alba","Barn Owl","Tytonidae","Birds"
"Phoebastria nigripes","Black Footed Albatross","Diomedeidae","Birds"
"Loxops caeruleirostris","'Akeke'E","Fringillidae","Birds"
"Puffinus pacificus","Wedge-Tailed Shearwater","Procellariidae","Birds"
"Passer domesticus","House Sparrow","Passeridae","Birds"
"Gallus gallus","Red Junglefowl","Phasianidae","Birds"
"Calidris minutilla","Least Sandpiper","Scolopacidae","Birds"
"Pycnonotus cafer","Red-Vented Bulbul","Pycnonotidae","Birds"
"Procelsterna cerulea","Blue-Grey Noddy","Laridae","Birds"
"Francolinus pondicerianus","Grey Francolin","Phasianidae","Birds"
"Fregata minor","Great Frigatebird","Fregatidae","Birds"
"Puffinus carneipes","Flesh-Footed Shearwater","Procellariidae","Birds"
"Myadestes palmeri","Small Kauai Thrush","Turdidae","Birds"
"Oreomystis mana","Hawaii Creeper","Fringillidae","Birds"
"Limosa lapponica","Bar-Tailed Godwit","Scolopacidae","Birds"
"Phaethon lepturus","White-Tailed Tropicbird","Phaethontidae","Birds"
"Oceanodroma castro","Madeiran Storm-Petrel","Hydrobatidae","Birds"
"Himatione sanguinea","Apapane","Fringillidae","Birds"
"Pterodroma pycrofti","Pycroft's Petrel","Procellariidae","Birds"
"Pterodroma cervicalis","White-Necked Petrel","Procellariidae","Birds"
"Fulica alai","Hawaiian Coot","Rallidae","Birds"
"Estrilda astrild","Common Waxbill","Estrildidae","Birds"
"Psittacula krameri","Rose-Ringed Parakeet","Psittacidae","Birds"
"Bulweria bulwerii","Bulwer's Petrel","Procellariidae","Birds"
"Pterodroma ultima","Murphy's Petrel","Procellariidae","Birds"
"Anas clypeata","Northern Shoveler","Anatidae","Birds"
"Phoebastria immutabilis","Laysan Albatross","Diomedeidae","Birds"
"Steganopus tricolor","Wilson's Phalarope","Scolopacidae","Birds"
"Uraeginthus bengalus","Red-Cheeked Cordonbleu","Estrildidae","Birds"
"Sicalis flaveola","Saffron Finch","Emberizidae","Birds"
"Branta sandvicensis","Hawaiian Goose","Anatidae","Birds"
"Loxops coccineus","Akekee","Fringillidae","Birds"
"Dendrocygna bicolor","Fulvous Whistling-Duck","Anatidae","Birds"
"Onychognathus frater","Socotra Starling","Sturnidae","Birds"
"Pavo cristatus","Common Peafowl","Phasianidae","Birds"
"Tringa melanoleuca","Greater Yellowlegs","Scolopacidae","Birds"
"Nycticorax nycticorax","Black-Crowned Night-Heron","Ardeidae","Birds"
"Anas querquedula","Garganey","Anatidae","Birds"
"Tringa flavipes","Lesser Yellow-Legs","Scolopacidae","Birds"
"Paroaria coronata","Red-Crested Cardinal","Emberizidae","Birds"
"Lonchura malacca","Black-Headed Munia","Estrildidae","Birds"
"Puffinus griseus","Sooty Shearwater","Procellariidae","Birds"
"Anas acuta","Northern Pintail","Anatidae","Birds"
"Philomachus pugnax","Ruff","Scolopacidae","Birds"
"Podilymbus podiceps","Pied-Billed Grebe","Podicipedidae","Birds"
"Lonchura atricapilla","Chestnut Munia","Estrildidae","Birds"
"Paroaria capitata","Yellow-Billed Cardinal","Emberizidae","Birds"
"Acridotheres tristis","Common Myna","Sturnidae","Birds"
"Fregata ariel","Lesser Frigatebird","Fregatidae","Birds"
"Branta canadensis","Canada Goose","Anatidae","Birds"
"Chasiempis sandwichensis","Elepaio","Monarchidae","Birds"
"Phaethon rubricauda","Red-Tailed Tropicbird","Phaethontidae","Birds"
"Limnodromus scolopaceus","Long-Billed Dowitcher","Scolopacidae","Birds"
"Anas platyrhynchos","Mallard","Anatidae","Birds"
"Larus argentatus","Herring Gull","Laridae","Birds"
"Sterna hirundo","Common Tern","Laridae","Birds"
"Larus atricilla","Laughing Gull","Laridae","Birds"
"Serinus mozambicus","Yellow-Fronted Canary","Fringillidae","Birds"
"Mimus polyglottos","Northern Mockingbird","Mimidae","Birds"
"Oceanites oceanicus","Wilson's Petrel","Hydrobatidae","Birds"
"Coturnix japonica","Japanese Quail","Phasianidae","Birds"
"Alauda arvensis","Skylark","Alaudidae","Birds"
"Phoebastria albatrus","Short-Tailed Albatross","Diomedeidae","Birds"
"Arenaria interpres","Ruddy Turnstone","Scolopacidae","Birds"
"Sterna lunata","Spectacled Tern","Laridae","Birds"
"Anous minutus","Black Noddy","Laridae","Birds"
"Sula dactylatra","Masked Booby","Sulidae","Birds"
"Francolinus erckelii","Erckel's Francolin","Phasianidae","Birds"
"Calidris mauri","Western Sandpiper","Scolopacidae","Birds"
"Puffinus tenuirostris","Short-Tailed Shearwater","Procellariidae","Birds"
"Francolinus francolinus","Black Francolin","Phasianidae","Birds"
