Downloaded from https://mol.org on Jun 20, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the Washington region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Tyrannus tyrannus","Eastern Kingbird","Tyrannidae","Birds"
"Aythya fuligula","Tufted Duck","Anatidae","Birds"
"Strix varia","Barred Owl","Strigidae","Birds"
"Amphispiza bilineata","Black-Throated Sparrow","Emberizidae","Birds"
"Calidris minutilla","Least Sandpiper","Scolopacidae","Birds"
"Falco columbarius","Merlin","Falconidae","Birds"
"Passer domesticus","House Sparrow","Passeridae","Birds"
"Pica hudsonia","Black-Billed Magpie","Corvidae","Birds"
"Pandion haliaetus","Osprey","Accipitridae","Birds"
"Aeronautes saxatalis","White-Throated Swift","Apodidae","Birds"
"Chondestes grammacus","Lark Sparrow","Emberizidae","Birds"
"Bucephala islandica","Barrow's Goldeneye","Anatidae","Birds"
"Tympanuchus phasianellus","Sharp-Tailed Grouse","Phasianidae","Birds"
"Vireo huttoni","Hutton's Vireo","Vireonidae","Birds"
"Larus glaucescens","Glaucous-Winged Gull","Laridae","Birds"
"Ardea herodias","Great Blue Heron","Ardeidae","Birds"
"Myiarchus cinerascens","Ash-Throated Flycatcher","Tyrannidae","Birds"
"Dendroica nigrescens","Black-Throated Grey Warbler","Parulidae","Birds"
"Phalaropus fulicarius","Grey Phalarope","Scolopacidae","Birds"
"Actitis macularius","Spotted Sandpiper","Scolopacidae","Birds"
"Picoides albolarvatus","White-Headed Woodpecker","Picidae","Birds"
"Porzana carolina","Sora","Rallidae","Birds"
"Dryocopus pileatus","Pileated Woodpecker","Picidae","Birds"
"Gymnogyps californianus","California Condor","Cathartidae","Birds"
"Petrochelidon pyrrhonota","Cliff Swallow","Hirundinidae","Birds"
"Fratercula cirrhata","Tufted Puffin","Alcidae","Birds"
"Gallinago gallinago","Common Snipe","Scolopacidae","Birds"
"Catoptrophorus semipalmatus","Willet","Scolopacidae","Birds"
"Numenius tahitiensis","Bristle-Thighed Curlew","Scolopacidae","Birds"
"Aythya marila","Greater Scaup","Anatidae","Birds"
"Catherpes mexicanus","Canyon Wren","Troglodytidae","Birds"
"Histrionicus histrionicus","Harlequin Duck","Anatidae","Birds"
"Zenaida macroura","Mourning Dove","Columbidae","Birds"
"Hirundo rustica","Barn Swallow","Hirundinidae","Birds"
"Limnodromus griseus","Short-Billed Dowitcher","Scolopacidae","Birds"
"Falco mexicanus","Prairie Falcon","Falconidae","Birds"
"Lanius excubitor","Great Grey Shrike","Laniidae","Birds"
"Pluvialis squatarola","Grey Plover","Charadriidae","Birds"
"Megaceryle alcyon","Belted Kingfisher","Alcedinidae","Birds"
"Charadrius semipalmatus","Semipalmated Plover","Charadriidae","Birds"
"Eremophila alpestris","Horned Lark","Alaudidae","Birds"
"Larus delawarensis","Ring-Billed Gull","Laridae","Birds"
"Larus hyperboreus","Glaucous Gull","Laridae","Birds"
"Empidonax minimus","Least Flycatcher","Tyrannidae","Birds"
"Otus flammeolus","Flammulated Owl","Strigidae","Birds"
"Molothrus ater","Brown-Headed Cowbird","Icteridae","Birds"
"Asio otus","Long-Eared Owl","Strigidae","Birds"
"Cinclus mexicanus","North American Dipper","Cinclidae","Birds"
"Ptychoramphus aleuticus","Cassin's Auklet","Alcidae","Birds"
