Downloaded from https://mol.org on Jun 20, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the Alaska region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Melanitta fusca","White-Winged Scoter","Anatidae","Birds"
"Aythya fuligula","Tufted Duck","Anatidae","Birds"
"Gavia arctica","Black-Throated Diver","Gaviidae","Birds"
"Limosa lapponica","Bar-Tailed Godwit","Scolopacidae","Birds"
"Calidris minutilla","Least Sandpiper","Scolopacidae","Birds"
"Falco columbarius","Merlin","Falconidae","Birds"
"Pica hudsonia","Black-Billed Magpie","Corvidae","Birds"
"Pandion haliaetus","Osprey","Accipitridae","Birds"
"Bucephala islandica","Barrow's Goldeneye","Anatidae","Birds"
"Tympanuchus phasianellus","Sharp-Tailed Grouse","Phasianidae","Birds"
"Chen rossii","Ross's Goose","Anatidae","Birds"
"Larus glaucescens","Glaucous-Winged Gull","Laridae","Birds"
"Ardea herodias","Great Blue Heron","Ardeidae","Birds"
"Phalaropus fulicarius","Grey Phalarope","Scolopacidae","Birds"
"Actitis macularius","Spotted Sandpiper","Scolopacidae","Birds"
"Charadrius hiaticula","Common Ringed Plover","Charadriidae","Birds"
"Porzana carolina","Sora","Rallidae","Birds"
"Sterna aleutica","Aleutian Tern","Laridae","Birds"
"Petrochelidon pyrrhonota","Cliff Swallow","Hirundinidae","Birds"
"Fratercula cirrhata","Tufted Puffin","Alcidae","Birds"
"Gallinago gallinago","Common Snipe","Scolopacidae","Birds"
"Heteroscelus brevipes","Grey Tailed Tattler","Scolopacidae","Birds"
"Numenius tahitiensis","Bristle-Thighed Curlew","Scolopacidae","Birds"
"Aythya marila","Greater Scaup","Anatidae","Birds"
"Histrionicus histrionicus","Harlequin Duck","Anatidae","Birds"
"Hirundo rustica","Barn Swallow","Hirundinidae","Birds"
"Tringa nebularia","Greenshank","Scolopacidae","Birds"
"Limnodromus griseus","Short-Billed Dowitcher","Scolopacidae","Birds"
"Somateria spectabilis","King Eider","Anatidae","Birds"
"Dendroica striata","Blackpoll Warbler","Parulidae","Birds"
"Lanius excubitor","Great Grey Shrike","Laniidae","Birds"
"Pluvialis squatarola","Grey Plover","Charadriidae","Birds"
"Megaceryle alcyon","Belted Kingfisher","Alcedinidae","Birds"
"Catharacta maccormicki","South Polar Skua","Stercorariidae","Birds"
"Charadrius semipalmatus","Semipalmated Plover","Charadriidae","Birds"
"Eremophila alpestris","Horned Lark","Alaudidae","Birds"
"Larus hyperboreus","Glaucous Gull","Laridae","Birds"
"Empidonax minimus","Least Flycatcher","Tyrannidae","Birds"
"Stercorarius pomarinus","Pomarine Skua","Stercorariidae","Birds"
"Cinclus mexicanus","North American Dipper","Cinclidae","Birds"
"Ptychoramphus aleuticus","Cassin's Auklet","Alcidae","Birds"
"Lophodytes cucullatus","Hooded Merganser","Anatidae","Birds"
"Brachyramphus brevirostris","Kittlitz's Murrelet","Alcidae","Birds"
"Parus rufescens","Chestnut-Backed Chickadee","Paridae","Birds"
"Cerorhinca monocerata","Rhinoceros Auklet","Alcidae","Birds"
"Phoebastria albatrus","Short-Tailed Albatross","Diomedeidae","Birds"
"Aythya collaris","Ring-Necked Duck","Anatidae","Birds"
"Aethia pusilla","Least Auklet","Alcidae","Birds"
"Empidonax flaviventris","Yellow-Bellied Flycatcher","Tyrannidae","Birds"
"Anas platyrhynchos","Mallard","Anatidae","Birds"
"Zoothera naevia","Varied Thrush","Turdidae","Birds"
"Setophaga ruticilla","American Redstart","Parulidae","Birds"
"Parus gambeli","Mountain Chickadee","Paridae","Birds"
"Phylloscopus tenellipes","Pale-Legged Leaf-Warbler","Sylviidae","Birds"
"Haliaeetus leucocephalus","Bald Eagle","Accipitridae","Birds"
"Glaucidium californicum","California Pygmy-Owl","Strigidae","Birds"
"Aythya affinis","Lesser Scaup","Anatidae","Birds"
"Phalaropus lobatus","Red-Necked Phalarope","Scolopacidae","Birds"
"Phylloscopus borealis","Arctic Warbler","Sylviidae","Birds"
"Motacilla alba","White Wagtail","Motacillidae","Birds"
"Podiceps grisegena","Red-Necked Grebe","Podicipedidae","Birds"
"Accipiter gentilis","Goshawk","Accipitridae","Birds"
"Anas discors","Blue-Winged Teal","Anatidae","Birds"
"Catharus guttatus","Hermit Thrush","Turdidae","Birds"
"Bubo virginianus","Great Horned Owl","Strigidae","Birds"
"Dendroica coronata","Yellow-Rumped Warbler","Parulidae","Birds"
"Anas querquedula","Garganey","Anatidae","Birds"
"Tringa melanoleuca","Greater Yellowlegs","Scolopacidae","Birds"
"Vermivora peregrina","Tennessee Warbler","Parulidae","Birds"
"Melospiza lincolnii","Lincoln's Sparrow","Emberizidae","Birds"
"Calidris ferruginea","Curlew Sandpiper","Scolopacidae","Birds"
"Anthus gustavi","Pechora Pipit","Motacillidae","Birds"
"Cyanocitta stelleri","Steller's Jay","Corvidae","Birds"
"Egretta thula","Snowy Egret","Ardeidae","Birds"
"Calidris temminckii","Temminck's Stint","Scolopacidae","Birds"
"Larus thayeri","Thayer's Gull","Laridae","Birds"
"Spizella passerina","Chipping Sparrow","Emberizidae","Birds"
"Lagopus muta","Rock Ptarmigan","Phasianidae","Birds"
"Calidris bairdii","Baird's Sandpiper","Scolopacidae","Birds"
"Heteroscelus incanus","Wandering Tattler","Scolopacidae","Birds"
"Contopus sordidulus","Western Wood-Pewee","Tyrannidae","Birds"
"Carpodacus purpureus","Purple Finch","Fringillidae","Birds"
"Oporornis tolmiei","Macgillivray's Warbler","Parulidae","Birds"
"Certhia americana","American Creeper","Certhiidae","Birds"
"Geothlypis trichas","Common Yellowthroat","Parulidae","Birds"
"Anas americana","American Wigeon","Anatidae","Birds"
"Corvus caurinus","Northwestern Crow","Corvidae","Birds"
"Anas crecca","Common Teal","Anatidae","Birds"
"Limosa haemastica","Hudsonian Godwit","Scolopacidae","Birds"
"Passerculus sandwichensis","Savannah Sparrow","Emberizidae","Birds"
"Cygnus columbianus","Tundra Swan","Anatidae","Birds"
"Calcarius lapponicus","Lapland Longspur","Emberizidae","Birds"
"Corvus corax","Common Raven","Corvidae","Birds"
"Aegolius funereus","Boreal Owl","Strigidae","Birds"
"Bombycilla garrulus","Bohemian Waxwing","Bombycillidae","Birds"
"Buteo lagopus","Rough-Legged Buzzard","Accipitridae","Birds"
"Seiurus noveboracensis","Northern Waterthrush","Parulidae","Birds"
"Podiceps auritus","Horned Grebe","Podicipedidae","Birds"
"Wilsonia pusilla","Wilson's Warbler","Parulidae","Birds"
"Columba livia","Rock Dove","Columbidae","Birds"
"Bubo scandiaca","Snowy Owl","Strigidae","Birds"
"Puffinus creatopus","Pink-Footed Shearwater","Procellariidae","Birds"
"Puffinus tenuirostris","Short-Tailed Shearwater","Procellariidae","Birds"
"Calidris mauri","Western Sandpiper","Scolopacidae","Birds"
"Agelaius phoeniceus","Red-Winged Blackbird","Icteridae","Birds"
"Phalacrocorax urile","Red-Faced Cormorant","Phalacrocoracidae","Birds"
"Haematopus bachmani","Black Oystercatcher","Haematopodidae","Birds"
"Buteo swainsoni","Swainson's Hawk","Accipitridae","Birds"
"Plectrophenax hyperboreus","Mckay's Bunting","Emberizidae","Birds"
"Sterna paradisaea","Artic Tern","Laridae","Birds"
"Carduelis sinica","Oriental Greenfinch","Fringillidae","Birds"
"Puffinus carneipes","Flesh-Footed Shearwater","Procellariidae","Birds"
"Bucephala clangula","Common Goldeneye","Anatidae","Birds"
"Alle alle","Little Auk","Alcidae","Birds"
"Picoides pubescens","Downy Woodpecker","Picidae","Birds"
"Phoebastria nigripes","Black Footed Albatross","Diomedeidae","Birds"
"Contopus cooperi","Olive-Sided Flycatcher","Tyrannidae","Birds"
"Melanitta perspicillata","Surf Scoter","Anatidae","Birds"
"Junco hyemalis","Dark-Eyed Junco","Emberizidae","Birds"
"Numenius borealis","Eskimo Curlew","Scolopacidae","Birds"
"Calidris melanotos","Pectoral Sandpiper","Scolopacidae","Birds"
"Carduelis flammea","Common Redpoll","Fringillidae","Birds"
"Chen caerulescens","Snow Goose","Anatidae","Birds"
"Calcarius pictus","Smith's Longspur","Emberizidae","Birds"
"Parkesia noveboracensis","Northern Waterthrush","Parulidae","Birds"
"Locustella ochotensis","Middendorff's Warbler","Sylviidae","Birds"
"Gavia adamsii","White-Billed Diver","Gaviidae","Birds"
"Buteo jamaicensis","Red-Tailed Hawk","Accipitridae","Birds"
"Oceanodroma leucorhoa","Leach's Storm-Petrel","Hydrobatidae","Birds"
"Anser albifrons","Greater White-Fronted Goose","Anatidae","Birds"
"Calidris alba","Sanderling","Scolopacidae","Birds"
"Falco sparverius","American Kestrel","Falconidae","Birds"
"Carduelis hornemanni","Arctic Redpoll","Fringillidae","Birds"
"Aethia cristatella","Crested Auklet","Alcidae","Birds"
"Phylloscopus fuscatus","Dusky Warbler","Sylviidae","Birds"
"Cepphus grylle","Black Guillemot","Alcidae","Birds"
"Chordeiles minor","Common Nighthawk","Caprimulgidae","Birds"
"Oxyura jamaicensis","Ruddy Duck","Anatidae","Birds"
"Haliaeetus albicilla","White-Tailed Eagle","Accipitridae","Birds"
"Cygnus buccinator","Trumpeter Swan","Anatidae","Birds"
"Picoides dorsalis","American Three-Toed Woodpecker","Picidae","Birds"
"Aythya americana","Redhead","Anatidae","Birds"
"Somateria fischeri","Spectacled Eider","Anatidae","Birds"
"Tyrannus forficatus","Scissor-Tailed Flycatcher","Tyrannidae","Birds"
"Fulica americana","American Coot","Rallidae","Birds"
"Parus atricapillus","Black-Capped Chickadee","Paridae","Birds"
"Puffinus bulleri","Grey-Backed Shearwater","Procellariidae","Birds"
"Lagopus leucura","White-Tailed Ptarmigan","Phasianidae","Birds"
"Calidris canutus","Red Knot","Scolopacidae","Birds"
"Pluvialis dominica","American Golden-Plover","Charadriidae","Birds"
"Vireo gilvus","Warbling Vireo","Vireonidae","Birds"
"Turdus migratorius","American Robin","Turdidae","Birds"
"Pinicola enucleator","Pine Grosbeak","Fringillidae","Birds"
"Phalacrocorax auritus","Double-Crested Cormorant","Phalacrocoracidae","Birds"
"Calidris fuscicollis","White-Rumped Sandpiper","Scolopacidae","Birds"
"Picoides tridactylus","Eurasian Three-Toed Woodpecker","Picidae","Birds"
"Dendroica townsendi","Townsend's Warbler","Parulidae","Birds"
"Calidris alpina","Dunlin","Scolopacidae","Birds"
"Pterodroma inexpectata","Mottled Petrel","Procellariidae","Birds"
"Gavia stellata","Red-Throated Diver","Gaviidae","Birds"
"Tringa erythropus","Spotted Redshank","Scolopacidae","Birds"
"Oenanthe oenanthe","Northern Wheatear","Muscicapidae","Birds"
"Empidonax difficilis","Pacific-Slope Flycatcher","Tyrannidae","Birds"
"Megascops kennicottii","Western Screech Owl","Strigidae","Birds"
"Spizella arborea","American Tree Sparrow","Emberizidae","Birds"
"Motacilla flava","Yellow Wagtail","Motacillidae","Birds"
"Dendroica petechia","Yellow Warbler","Parulidae","Birds"
"Calidris acuminata","Sharp-Tailed Sandpiper","Scolopacidae","Birds"
"Sturnus vulgaris","Common Starling","Sturnidae","Birds"
"Tringa solitaria","Solitary Sandpiper","Scolopacidae","Birds"
"Bubulcus ibis","Cattle Egret","Ardeidae","Birds"
"Chaetura vauxi","Vaux's Swift","Apodidae","Birds"
"Oceanodroma furcata","Fork-Tailed Storm-Petrel","Hydrobatidae","Birds"
"Limosa fedoa","Marbled Godwit","Scolopacidae","Birds"
"Myadestes townsendi","Townsend's Solitaire","Turdidae","Birds"
"Strix nebulosa","Great Grey Owl","Strigidae","Birds"
"Pterodroma cookii","Cook's Petrel","Procellariidae","Birds"
"Larus schistisagus","Slaty-Backed Gull","Laridae","Birds"
"Aethia pygmaea","Whiskered Auklet","Alcidae","Birds"
"Aegolius acadicus","Northern Saw-Whet Owl","Strigidae","Birds"
"Gavia pacifica","Pacific Loon","Gaviidae","Birds"
