Downloaded from https://mol.org on Jun 20, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the Louisiana region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Dendrocygna bicolor","Fulvous Whistling-Duck","Anatidae","Birds"
"Vireo olivaceus","Red-Eyed Vireo","Vireonidae","Birds"
"Vireo griseus","White-Eyed Vireo","Vireonidae","Birds"
"Geothlypis trichas","Common Yellowthroat","Parulidae","Birds"
"Anas americana","American Wigeon","Anatidae","Birds"
"Egretta rufescens","Reddish Egret","Ardeidae","Birds"
"Anas crecca","Common Teal","Anatidae","Birds"
"Calcarius lapponicus","Lapland Longspur","Emberizidae","Birds"
"Oporornis formosus","Kentucky Warbler","Parulidae","Birds"
"Melanitta fusca","White-Winged Scoter","Anatidae","Birds"
"Limnothlypis swainsonii","Swainson's Warbler","Parulidae","Birds"
"Vermivora ruficapilla","Nashville Warbler","Parulidae","Birds"
"Morus bassanus","Gannet","Sulidae","Birds"
"Quiscalus major","Boat-Tailed Grackle","Icteridae","Birds"
"Parkesia noveboracensis","Northern Waterthrush","Parulidae","Birds"
"Pipilo maculatus","Spotted Towhee","Emberizidae","Birds"
"Columbina passerina","Common Ground-Dove","Columbidae","Birds"
"Anser albifrons","Greater White-Fronted Goose","Anatidae","Birds"
"Calidris alba","Sanderling","Scolopacidae","Birds"
"Falco sparverius","American Kestrel","Falconidae","Birds"
"Cathartes aura","Turkey Vulture","Cathartidae","Birds"
"Empidonax virescens","Acadian Flycatcher","Tyrannidae","Birds"
"Vireo solitarius","Solitary Vireo","Vireonidae","Birds"
"Fulica americana","American Coot","Rallidae","Birds"
"Seiurus motacilla","Louisiana Waterthrush","Parulidae","Birds"
"Larus minutus","Little Gull","Laridae","Birds"
"Calidris alpina","Dunlin","Scolopacidae","Birds"
"Elanus leucurus","White-Tailed Kite","Accipitridae","Birds"
"Calidris fuscicollis","White-Rumped Sandpiper","Scolopacidae","Birds"
"Caprimulgus vociferus","Whip-Poor-Will","Caprimulgidae","Birds"
"Calidris minutilla","Least Sandpiper","Scolopacidae","Birds"
"Passer domesticus","House Sparrow","Passeridae","Birds"
"Parabuteo unicinctus","Harris' Hawk","Accipitridae","Birds"
"Parula americana","Northern Parula","Parulidae","Birds"
"Porzana carolina","Sora","Rallidae","Birds"
"Ammodramus nelsoni","Nelson's Sparrow","Emberizidae","Birds"
"Petrochelidon pyrrhonota","Cliff Swallow","Hirundinidae","Birds"
"Protonotaria citrea","Prothonotary Warbler","Parulidae","Birds"
"Catoptrophorus semipalmatus","Willet","Scolopacidae","Birds"
"Aythya marila","Greater Scaup","Anatidae","Birds"
"Larus fuscus","Scandinavian Lesser Black-Backed Gull","Laridae","Birds"
"Hirundo rustica","Barn Swallow","Hirundinidae","Birds"
"Porphyrio martinica","Purple Gallinule","Rallidae","Birds"
"Dendroica striata","Blackpoll Warbler","Parulidae","Birds"
"Wilsonia canadensis","Canada Warbler","Parulidae","Birds"
"Pluvialis squatarola","Grey Plover","Charadriidae","Birds"
"Charadrius semipalmatus","Semipalmated Plover","Charadriidae","Birds"
"Fregata magnificens","Magnificent Frigatebird","Fregatidae","Birds"
"Larus delawarensis","Ring-Billed Gull","Laridae","Birds"
"Molothrus ater","Brown-Headed Cowbird","Icteridae","Birds"
"Asio otus","Long-Eared Owl","Strigidae","Birds"
"Tyrannus dominicensis","Grey Kingbird","Tyrannidae","Birds"
"Lophodytes cucullatus","Hooded Merganser","Anatidae","Birds"
"Chlidonias niger","Black Tern","Laridae","Birds"
"Cyanocitta cristata","Blue Jay","Corvidae","Birds"
"Oceanites oceanicus","Wilson's Petrel","Hydrobatidae","Birds"
"Platalea ajaja","Roseate Spoonbill","Threskiornithidae","Birds"
"Sterna maxima","Royal Tern","Laridae","Birds"
"Euphagus cyanocephalus","Brewer's Blackbird","Icteridae","Birds"
"Recurvirostra americana","American Avocet","Recurvirostridae","Birds"
"Buteo lineatus","Red-Shouldered Hawk","Accipitridae","Birds"
"Podiceps nigricollis","Black-Necked Grebe","Podicipedidae","Birds"
"Anas discors","Blue-Winged Teal","Anatidae","Birds"
"Catharus guttatus","Hermit Thrush","Turdidae","Birds"
"Arenaria interpres","Ruddy Turnstone","Scolopacidae","Birds"
"Sturnella magna","Eastern Meadowlark","Icteridae","Birds"
"Anas fulvigula","Mottled Duck","Anatidae","Birds"
"Charadrius alexandrinus","Kentish Plover","Charadriidae","Birds"
"Melospiza melodia","Song Sparrow","Emberizidae","Birds"
"Grus canadensis","Sandhill Crane","Gruidae","Birds"
"Empidonax traillii","Willow Flycatcher","Tyrannidae","Birds"
"Myiarchus crinitus","Great Crested Flycatcher","Tyrannidae","Birds"
"Icterus spurius","Orchard Oriole","Icteridae","Birds"
"Myiopsitta monachus","Monk Parakeet","Psittacidae","Birds"
"Podilymbus podiceps","Pied-Billed Grebe","Podicipedidae","Birds"
"Dendroica virens","Black-Throated Green Warbler","Parulidae","Birds"
"Piranga rubra","Summer Tanager","Cardinalidae","Birds"
"Plegadis falcinellus","Glossy Ibis","Threskiornithidae","Birds"
"Vermivora celata","Orange-Crowned Warbler","Parulidae","Birds"
"Thryothorus ludovicianus","Carolina Wren","Troglodytidae","Birds"
"Sitta canadensis","Red-Breasted Nuthatch","Sittidae","Birds"
"Nycticorax nycticorax","Black-Crowned Night-Heron","Ardeidae","Birds"
"Charadrius melodus","Piping Plover","Charadriidae","Birds"
"Sterna sandvicensis","Sandwich Tern","Laridae","Birds"
"Anas clypeata","Northern Shoveler","Anatidae","Birds"
"Calidris pusilla","Semipalmated Sandpiper","Scolopacidae","Birds"
"Aegolius acadicus","Northern Saw-Whet Owl","Strigidae","Birds"
"Pooecetes gramineus","Vesper Sparrow","Emberizidae","Birds"
"Sturnella neglecta","Western Meadowlark","Icteridae","Birds"
"Himantopus mexicanus","Black-Necked Stilt","Recurvirostridae","Birds"
"Limosa fedoa","Marbled Godwit","Scolopacidae","Birds"
"Bubulcus ibis","Cattle Egret","Ardeidae","Birds"
"Carpodacus mexicanus","House Finch","Fringillidae","Birds"
"Sterna forsteri","Forster's Tern","Laridae","Birds"
"Megascops asio","Eastern Screech Owl","Strigidae","Birds"
"Helmitheros vermivorum","Worm-Eating Warbler","Parulidae","Birds"
"Dendroica palmarum","Palm Warbler","Parulidae","Birds"
"Bucephala clangula","Common Goldeneye","Anatidae","Birds"
"Melanitta perspicillata","Surf Scoter","Anatidae","Birds"
"Tyto alba","Barn Owl","Tytonidae","Birds"
"Spizella pallida","Clay-Coloured Sparrow","Emberizidae","Birds"
"Chen caerulescens","Snow Goose","Anatidae","Birds"
"Troglodytes aedon","House Wren","Troglodytidae","Birds"
"Molothrus aeneus","Bronzed Cowbird","Icteridae","Birds"
"Chordeiles minor","Common Nighthawk","Caprimulgidae","Birds"
"Oxyura jamaicensis","Ruddy Duck","Anatidae","Birds"
"Pheucticus ludovicianus","Rose-Breasted Grosbeak","Cardinalidae","Birds"
"Athene cunicularia","Burrowing Owl","Strigidae","Birds"
"Aythya americana","Redhead","Anatidae","Birds"
