Downloaded from https://mol.org on Jun 20, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the Ohio region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Piranga olivacea","Scarlet Tanager","Cardinalidae","Birds"
"Dendroica palmarum","Palm Warbler","Parulidae","Birds"
"Helmitheros vermivorum","Worm-Eating Warbler","Parulidae","Birds"
"Megascops asio","Eastern Screech Owl","Strigidae","Birds"
"Aimophila aestivalis","Bachman's Sparrow","Emberizidae","Birds"
"Cistothorus palustris","Marsh Wren","Troglodytidae","Birds"
"Wilsonia pusilla","Wilson's Warbler","Parulidae","Birds"
"Podiceps auritus","Horned Grebe","Podicipedidae","Birds"
"Sterna nilotica","Gull-Billed Tern","Laridae","Birds"
"Ixobrychus exilis","Least Bittern","Ardeidae","Birds"
"Cygnus columbianus","Tundra Swan","Anatidae","Birds"
"Caprimulgus vociferus","Whip-Poor-Will","Caprimulgidae","Birds"
"Calidris fuscicollis","White-Rumped Sandpiper","Scolopacidae","Birds"
"Calidris alpina","Dunlin","Scolopacidae","Birds"
"Larus minutus","Little Gull","Laridae","Birds"
"Sterna forsteri","Forster's Tern","Laridae","Birds"
"Carpodacus mexicanus","House Finch","Fringillidae","Birds"
"Bubulcus ibis","Cattle Egret","Ardeidae","Birds"
"Sturnella neglecta","Western Meadowlark","Icteridae","Birds"
"Pooecetes gramineus","Vesper Sparrow","Emberizidae","Birds"
"Aegolius acadicus","Northern Saw-Whet Owl","Strigidae","Birds"
"Calidris pusilla","Semipalmated Sandpiper","Scolopacidae","Birds"
"Anas clypeata","Northern Shoveler","Anatidae","Birds"
"Charadrius melodus","Piping Plover","Charadriidae","Birds"
"Nycticorax nycticorax","Black-Crowned Night-Heron","Ardeidae","Birds"
"Sitta canadensis","Red-Breasted Nuthatch","Sittidae","Birds"
"Thryothorus ludovicianus","Carolina Wren","Troglodytidae","Birds"
"Vermivora celata","Orange-Crowned Warbler","Parulidae","Birds"
"Plegadis falcinellus","Glossy Ibis","Threskiornithidae","Birds"
"Piranga rubra","Summer Tanager","Cardinalidae","Birds"
"Dendroica virens","Black-Throated Green Warbler","Parulidae","Birds"
"Podilymbus podiceps","Pied-Billed Grebe","Podicipedidae","Birds"
"Icterus spurius","Orchard Oriole","Icteridae","Birds"
"Myiarchus crinitus","Great Crested Flycatcher","Tyrannidae","Birds"
"Empidonax traillii","Willow Flycatcher","Tyrannidae","Birds"
"Grus canadensis","Sandhill Crane","Gruidae","Birds"
"Melospiza melodia","Song Sparrow","Emberizidae","Birds"
"Sturnella magna","Eastern Meadowlark","Icteridae","Birds"
"Dendroica dominica","Yellow-Throated Warbler","Parulidae","Birds"
"Ammodramus nelsoni","Nelson's Sparrow","Emberizidae","Birds"
"Porzana carolina","Sora","Rallidae","Birds"
"Parula americana","Northern Parula","Parulidae","Birds"
"Passer domesticus","House Sparrow","Passeridae","Birds"
"Calidris minutilla","Least Sandpiper","Scolopacidae","Birds"
"Melanitta perspicillata","Surf Scoter","Anatidae","Birds"
"Tyto alba","Barn Owl","Tytonidae","Birds"
"Spizella pallida","Clay-Coloured Sparrow","Emberizidae","Birds"
"Oporornis agilis","Connecticut Warbler","Parulidae","Birds"
"Chen caerulescens","Snow Goose","Anatidae","Birds"
"Troglodytes aedon","House Wren","Troglodytidae","Birds"
"Carduelis hornemanni","Arctic Redpoll","Fringillidae","Birds"
"Chordeiles minor","Common Nighthawk","Caprimulgidae","Birds"
"Oxyura jamaicensis","Ruddy Duck","Anatidae","Birds"
"Pheucticus ludovicianus","Rose-Breasted Grosbeak","Cardinalidae","Birds"
"Aythya americana","Redhead","Anatidae","Birds"
"Phasianus colchicus","Common Pheasant","Phasianidae","Birds"
"Agelaius phoeniceus","Red-Winged Blackbird","Icteridae","Birds"
"Meleagris gallopavo","Common Turkey","Phasianidae","Birds"
"Colinus virginianus","Northern Bobwhite","Odontophoridae","Birds"
"Chaetura pelagica","Chimney Swift","Apodidae","Birds"
"Anas strepera","Gadwall","Anatidae","Birds"
"Coccyzus erythropthalmus","Black-Billed Cuckoo","Cuculidae","Birds"
"Melanerpes carolinus","Red-Bellied Woodpecker","Picidae","Birds"
"Passerina caerulea","Blue Grosbeak","Emberizidae","Birds"
"Contopus virens","Eastern Wood-Pewee","Tyrannidae","Birds"
"Dendroica pinus","Pine Warbler","Parulidae","Birds"
"Corvus brachyrhynchos","American Crow","Corvidae","Birds"
"Carduelis tristis","American Goldfinch","Fringillidae","Birds"
"Dendroica discolor","Prairie Warbler","Parulidae","Birds"
"Egretta caerulea","Little Blue Heron","Ardeidae","Birds"
"Accipiter striatus","Plain-Breasted Hawk","Accipitridae","Birds"
"Vireo bellii","Bell's Vireo","Vireonidae","Birds"
