Downloaded from https://mol.org on Jun 20, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the Oklahoma region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Aechmophorus occidentalis","Western Grebe","Podicipedidae","Birds"
"Dendroica striata","Blackpoll Warbler","Parulidae","Birds"
"Wilsonia canadensis","Canada Warbler","Parulidae","Birds"
"Lanius excubitor","Great Grey Shrike","Laniidae","Birds"
"Charadrius semipalmatus","Semipalmated Plover","Charadriidae","Birds"
"Larus delawarensis","Ring-Billed Gull","Laridae","Birds"
"Molothrus ater","Brown-Headed Cowbird","Icteridae","Birds"
"Asio otus","Long-Eared Owl","Strigidae","Birds"
"Lophodytes cucullatus","Hooded Merganser","Anatidae","Birds"
"Chlidonias niger","Black Tern","Laridae","Birds"
"Cyanocitta cristata","Blue Jay","Corvidae","Birds"
"Platalea ajaja","Roseate Spoonbill","Threskiornithidae","Birds"
"Euphagus cyanocephalus","Brewer's Blackbird","Icteridae","Birds"
"Recurvirostra americana","American Avocet","Recurvirostridae","Birds"
"Buteo lineatus","Red-Shouldered Hawk","Accipitridae","Birds"
"Podiceps nigricollis","Black-Necked Grebe","Podicipedidae","Birds"
"Anas discors","Blue-Winged Teal","Anatidae","Birds"
"Catharus guttatus","Hermit Thrush","Turdidae","Birds"
"Vireo olivaceus","Red-Eyed Vireo","Vireonidae","Birds"
"Vireo griseus","White-Eyed Vireo","Vireonidae","Birds"
"Geothlypis trichas","Common Yellowthroat","Parulidae","Birds"
"Anas americana","American Wigeon","Anatidae","Birds"
"Anas crecca","Common Teal","Anatidae","Birds"
"Calcarius lapponicus","Lapland Longspur","Emberizidae","Birds"
"Oporornis formosus","Kentucky Warbler","Parulidae","Birds"
"Sitta canadensis","Red-Breasted Nuthatch","Sittidae","Birds"
"Phalaenoptilus nuttallii","Common Poorwill","Caprimulgidae","Birds"
"Nycticorax nycticorax","Black-Crowned Night-Heron","Ardeidae","Birds"
"Charadrius melodus","Piping Plover","Charadriidae","Birds"
"Carduelis psaltria","Dark-Backed Goldfinch","Fringillidae","Birds"
"Anas clypeata","Northern Shoveler","Anatidae","Birds"
"Calidris pusilla","Semipalmated Sandpiper","Scolopacidae","Birds"
"Aegolius acadicus","Northern Saw-Whet Owl","Strigidae","Birds"
"Pooecetes gramineus","Vesper Sparrow","Emberizidae","Birds"
"Sturnella neglecta","Western Meadowlark","Icteridae","Birds"
"Himantopus mexicanus","Black-Necked Stilt","Recurvirostridae","Birds"
"Myadestes townsendi","Townsend's Solitaire","Turdidae","Birds"
"Bubulcus ibis","Cattle Egret","Ardeidae","Birds"
"Carpodacus mexicanus","House Finch","Fringillidae","Birds"
"Peucaea cassinii","Cassin's Sparrow","Passerellidae","Birds"
"Sterna forsteri","Forster's Tern","Laridae","Birds"
"Calidris alpina","Dunlin","Scolopacidae","Birds"
"Dendroica townsendi","Townsend's Warbler","Parulidae","Birds"
"Elanus leucurus","White-Tailed Kite","Accipitridae","Birds"
"Calidris fuscicollis","White-Rumped Sandpiper","Scolopacidae","Birds"
"Caprimulgus vociferus","Whip-Poor-Will","Caprimulgidae","Birds"
"Calidris minutilla","Least Sandpiper","Scolopacidae","Birds"
"Passer domesticus","House Sparrow","Passeridae","Birds"
"Calamospiza melanocorys","Lark Bunting","Emberizidae","Birds"
"Parabuteo unicinctus","Harris' Hawk","Accipitridae","Birds"
"Parula americana","Northern Parula","Parulidae","Birds"
"Porzana carolina","Sora","Rallidae","Birds"
"Ammodramus nelsoni","Nelson's Sparrow","Emberizidae","Birds"
