Downloaded from https://mol.org on Jun 20, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the Texas region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Charadrius semipalmatus","Semipalmated Plover","Charadriidae","Birds"
"Lanius ludovicianus","Loggerhead Shrike","Laniidae","Birds"
"Aythya collaris","Ring-Necked Duck","Anatidae","Birds"
"Setophaga ruticilla","American Redstart","Parulidae","Birds"
"Selasphorus platycercus","Broad-Tailed Hummingbird","Trochilidae","Birds"
"Aythya affinis","Lesser Scaup","Anatidae","Birds"
"Dendroica coronata","Yellow-Rumped Warbler","Parulidae","Birds"
"Nucifraga columbiana","Clark's Nutcracker","Corvidae","Birds"
"Botaurus lentiginosus","American Bittern","Ardeidae","Birds"
"Spizella passerina","Chipping Sparrow","Emberizidae","Birds"
"Calidris bairdii","Baird's Sandpiper","Scolopacidae","Birds"
"Contopus sordidulus","Western Wood-Pewee","Tyrannidae","Birds"
"Carpodacus purpureus","Purple Finch","Fringillidae","Birds"
"Melanerpes aurifrons","Golden-Fronted Woodpecker","Picidae","Birds"
"Patagioenas fasciata","Band-Tailed Pigeon","Columbidae","Birds"
"Nycticorax nycticorax","Black-Crowned Night-Heron","Ardeidae","Birds"
"Charadrius melodus","Piping Plover","Charadriidae","Birds"
"Carduelis psaltria","Dark-Backed Goldfinch","Fringillidae","Birds"
"Anas clypeata","Northern Shoveler","Anatidae","Birds"
"Calidris pusilla","Semipalmated Sandpiper","Scolopacidae","Birds"
"Aegolius acadicus","Northern Saw-Whet Owl","Strigidae","Birds"
"Larus schistisagus","Slaty-Backed Gull","Laridae","Birds"
"Sturnella neglecta","Western Meadowlark","Icteridae","Birds"
"Myadestes townsendi","Townsend's Solitaire","Turdidae","Birds"
"Bubulcus ibis","Cattle Egret","Ardeidae","Birds"
"Carpodacus mexicanus","House Finch","Fringillidae","Birds"
"Peucaea cassinii","Cassin's Sparrow","Passerellidae","Birds"
"Cyanocorax luxuosus","Green Jay","Corvidae","Birds"
"Dendroica townsendi","Townsend's Warbler","Parulidae","Birds"
"Strix varia","Barred Owl","Strigidae","Birds"
"Amphispiza bilineata","Black-Throated Sparrow","Emberizidae","Birds"
"Vireo huttoni","Hutton's Vireo","Vireonidae","Birds"
"Chen rossii","Ross's Goose","Anatidae","Birds"
"Ammodramus leconteii","Le Conte's Sparrow","Emberizidae","Birds"
"Dryocopus pileatus","Pileated Woodpecker","Picidae","Birds"
"Wilsonia citrina","Hooded Warbler","Parulidae","Birds"
"Limnodromus griseus","Short-Billed Dowitcher","Scolopacidae","Birds"
"Sterna anaethetus","Bridled Tern","Laridae","Birds"
"Falco mexicanus","Prairie Falcon","Falconidae","Birds"
"Cardinalis sinuatus","Pyrrhuloxia","Cardinalidae","Birds"
"Megaceryle alcyon","Belted Kingfisher","Alcedinidae","Birds"
"Larus hyperboreus","Glaucous Gull","Laridae","Birds"
"Dendrocygna autumnalis","Black-Bellied Whistling-Duck","Anatidae","Birds"
"Empidonax minimus","Least Flycatcher","Tyrannidae","Birds"
"Sterna fuscata","Sooty Tern","Laridae","Birds"
"Molothrus aeneus","Bronzed Cowbird","Icteridae","Birds"
"Melozone fuscus","null","Emberizidae","Birds"
"Ammodramus bairdii","Baird's Sparrow","Emberizidae","Birds"
"Oxyura jamaicensis","Ruddy Duck","Anatidae","Birds"
"Pheucticus ludovicianus","Rose-Breasted Grosbeak","Cardinalidae","Birds"
"Athene cunicularia","Burrowing Owl","Strigidae","Birds"
"Chloroceryle americana","Green Kingfisher","Alcedinidae","Birds"
"Aythya americana","Redhead","Anatidae","Birds"
"Meleagris gallopavo","Common Turkey","Phasianidae","Birds"
"Colinus virginianus","Northern Bobwhite","Odontophoridae","Birds"
"Anas strepera","Gadwall","Anatidae","Birds"
"Melanerpes carolinus","Red-Bellied Woodpecker","Picidae","Birds"
"Dendroica pinus","Pine Warbler","Parulidae","Birds"
"Piranga ludoviciana","Western Tanager","Cardinalidae","Birds"
"Auriparus flaviceps","Verdin","Remizidae","Birds"
"Dendroica dominica","Yellow-Throated Warbler","Parulidae","Birds"
"Carpodacus cassinii","Cassin's Finch","Fringillidae","Birds"
"Charadrius alexandrinus","Kentish Plover","Charadriidae","Birds"
"Melospiza melodia","Song Sparrow","Emberizidae","Birds"
