region,code,forest_area,pop_density,macro_region,area,avg_temp,min_temp,max_temp
Albania,AL,28.7919708029197,105,Europe,27400.0,12.03,-0.6,23.6
Andorra,AD,34.0425531914894,164,Europe,470.0,9.18,-2.1,20.6
Austria,AT,47.2509694619486,109,Europe,82520.0,7.25,-6.0,19.2
Belarus,BY,43.1944033894965,47,Europe,202980.0,7.5,-11.3,21.7
Belgium,BE,22.7642007926024,383,Europe,30280.0,10.68,-1.1,21.6
Bosnia and Herzegovina,BA,42.7326171875,64,Europe,51200.0,10.24,-4.2,22.6
Bulgaria,BG,35.8603537214444,64,Europe,108560.0,11.31,-4.0,23.8
Croatia,HR,34.2659480473582,73,Europe,56590.0,11.66,-2.8,23.8
Czech Republic,CZ,34.6773316062176,139,Europe,77200.0,8.73,-5.8,21.2
Denmark,DK,15.711,137,Europe,40000.0,8.76,-3.9,19.7
Estonia,EE,56.0938578329883,31,Europe,43470.0,6.31,-12.0,21.1
Finland,FI,73.7332192682285,18,Europe,303920.0,2.52,-16.1,19.1
France,FR,31.5090483730461,119,Europe,547557.0,11.69,1.0,22.8
Germany,DE,32.6836109680005,240,Europe,349380.0,9.63,-3.6,21.7
Greece,GR,30.2699767261443,81,Europe,128900.0,14.24,2.2,25.6
Hungary,HU,22.4962743808898,107,Europe,91260.0,11.15,-5.2,23.9
Italy,IT,32.1302186544856,206,Europe,297730.0,12.81,1.7,24.2
Kosovo,XK,0.0,159,Europe,10887.0,12.03,-0.6,23.6
Latvia,LV,54.9330004831696,30,Europe,62090.0,6.86,-10.9,21.0
Liechtenstein,LI,41.875,238,Europe,160.0,6.71,-5.7,18.4
Lithuania,LT,35.1429027622545,43,Europe,62630.0,7.43,-10.6,21.2
Luxembourg,LU,36.5020576131687,242,Europe,2430.0,10.02,-2.7,22.1
Macedonia,MD,39.7101506740682,83,Europe,25220.0,10.64,-3.9,22.9
Moldova,MC,11.7529716925191,123,Europe,32885.3,10.66,-7.4,24.8
Monaco,ME,0.0,26337,Europe,2.027,13.95,3.4,24.6
Montenegro,NL,61.4869888475836,47,Europe,13450.0,9.19,-4.8,21.6
Netherlands,MK,10.974160974161,508,Europe,33670.0,10.4,-1.0,21.0
Norway,NO,33.3600058174591,15,Europe,365107.85,1.78,-12.0,15.2
Poland,PL,30.9729888623967,124,Europe,306170.0,8.85,-6.7,21.3
Portugal,PT,36.154994891142,111,Europe,91605.6,15.62,7.3,24.4
Romania,RO,30.1158292767733,83,Europe,230080.0,9.86,-6.5,22.6
San Marino,SM,16.6666666666667,566,Europe,60.0,9.58,-4.1,21.7
Serbia,RS,31.1302309627258,100,Europe,87460.0,11.28,-4.8,23.9
Slovakia,SK,40.05615640599,114,Europe,48080.0,8.34,-7.2,20.9
Slovenia,SL,61.4722591923085,103,Europe,20136.4,9.58,-4.1,21.7
Spain,ES,37.1738204008784,94,Europe,499603.479,13.93,4.2,24.6
Sweden,SW,68.6946060739977,25,Europe,407310.0,2.62,-12.9,17.3
Switzerland,CH,32.116333548689,219,Europe,39516.03,6.08,-6.0,17.7
Ukraine,UA,16.7241974456334,75,Europe,579400.0,9.25,-9.3,23.7
